ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,145.69479929,533547.46002647
202202,3647923.56079389,0.00314526,104.02293198,123.99287391,533272.59966628
202203,3662678.00423128,0.00315543,104.19138319,109.88747274,532997.7393061
202204,3677432.44766867,0.0031656,104.36221861,119.64249671,532722.87894591
202205,3692186.89110606,0.00317577,104.51521816,137.59343452,532448.01858572
202206,3706941.33454346,0.00318593,104.58789579,143.21111189,532173.15822553
202207,3721695.77798085,0.0031961,104.69300972,137.16221972,531898.29786534
202208,3736450.22141824,0.00320627,104.8077501,123.29591118,531623.43750515
202209,3751204.66485563,0.00321644,104.94854305,115.25225635,531348.57714496
202210,3765959.10829302,0.00322661,105.06352354,117.33138298,531073.71678477
202211,3780713.55173041,0.00323677,105.17947214,123.81026375,530798.85642458
202212,3795467.9951678,0.00324694,105.28809655,128.0089453,530523.99606439
202301,3810222.4386052,0.00325711,105.41068472,125.3276657,530249.13570421
202302,3824976.88204259,0.00326728,105.52884722,118.75511998,529974.27534402
202303,3839731.32547998,0.00327745,105.64946696,113.64025938,529699.41498383
202304,3854485.76891737,0.00328761,105.76378368,112.72635332,529424.55462364
202305,3869240.21235476,0.00329778,105.8820024,114.94310842,529149.69426345
202306,3883994.65579215,0.00330795,105.99876564,116.57075739,528874.83390326
202307,3898749.09922954,0.00331812,106.11817208,115.3758368,528599.97354307
202308,3913503.54266694,0.00332829,106.23511571,111.96053146,528325.11318288
202309,3928257.98610433,0.00333845,106.3531693,108.59887892,528050.25282269
202310,3943012.42954172,0.00334862,106.47007001,107.07486145,527775.3924625
202311,3957766.87297911,0.00335879,106.58829685,107.17652866,527500.53210232
202312,3972521.3164165,0.00336896,106.70573514,107.40967161,527225.67174213
202401,3987275.75985389,0.00337913,106.82374735,106.50604065,526950.81138194
202402,4002030.20329128,0.00338929,106.94109656,104.4227705,526675.95102175
202403,4016784.64672868,0.00339946,107.05894329,102.12755717,526401.09066156
202404,4031539.09016607,0.00340963,107.17646513,100.53462128,526126.23030137
202405,4046293.53360346,0.0034198,107.29431473,99.7693383,525851.36994118
202406,4061047.97704085,0.00342997,107.41187816,99.23722731,525576.50958099
202407,4075802.42047824,0.00344013,107.52963554,98.28081224,525301.6492208
202408,4090556.86391563,0.0034503,107.6472253,96.74935795,525026.78886061
202409,4105311.30735302,0.00346047,107.76497053,95.00451821,524751.92850043
202410,4120065.75079042,0.00347064,107.88260089,93.50520185,524477.06814024
202411,4134820.19422781,0.0034808,108.0003213,92.4013577,524202.20778005
202412,4149574.6376652,0.00349097,108.11795929,91.47784851,523927.34741986
202501,4164329.08110259,0.00350114,108.23566328,90.41827922,523652.48705967
202502,4179083.52453998,0.00351131,108.35331708,89.09118433,523377.62669948
202503,4193837.96797737,0.00352148,108.4710146,87.61857071,523102.76633929
202504,4208592.41141476,0.00353164,108.58867531,86.21645848,522827.9059791
202505,4223346.85485215,0.00354181,108.70636439,84.99286507,522553.04561891
202506,4238101.29828955,0.00355198,108.82402993,83.88231179,522278.18525873
202507,4252855.74172694,0.00356215,108.94171562,82.73961538,522003.32489854
202508,4267610.18516433,0.00357232,109.05938531,81.47936639,521728.46453835
202509,4282364.62860172,0.00358248,109.1770679,80.13374893,521453.60417816
202510,4297119.07203911,0.00359265,109.29473953,78.79895374,521178.74381797
202511,4311873.5154765,0.00360282,109.41242009,77.54036525,520903.88345778
202512,4326627.95891389,0.00361299,109.53009352,76.34486145,520629.02309759
202601,4341382.40235128,0.00362316,109.6477729,75.14958407,520354.1627374
202602,4356136.84578867,0.00363332,109.76544735,73.90573177,520079.30237721
202603,4370891.28922606,0.00364349,109.88312577,72.61614039,519804.44201702
202604,4385645.73266346,0.00365366,110.00080092,71.32122794,519529.58165684
202605,4400400.17610085,0.00366383,110.11847879,70.05669852,519254.72129665
202606,4415154.61953824,0.003674,110.23615446,68.82477998,518979.86093646
202607,4429909.06297563,0.00368416,110.35383192,67.59994768,518705.00057627
202608,4444663.50641302,0.00369433,110.47150789,66.35653711,518430.14021608
202609,4459417.94985041,0.0037045,110.58918508,65.09022311,518155.27985589
202610,4474172.3932878,0.00371467,110.70686128,63.81679755,517880.4194957
202611,4488926.83672519,0.00372484,110.82453829,62.55441676,517605.55913551
202612,4503681.28016258,0.003735,110.94221464,61.30789509,517330.69877532
