ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,247.03313906,574971.11431108
202202,3647923.56079389,0.00314526,104.02293198,227.35114433,574979.11379679
202203,3662678.00423128,0.00315543,104.19138319,208.57539138,574987.1132825
202204,3677432.44766867,0.0031656,104.36221861,204.13957012,574995.11276821
202205,3692186.89110606,0.00317577,104.51521816,213.78640629,575003.11225392
202206,3706941.33454346,0.00318593,104.58789579,222.10733761,575011.11173963
202207,3721695.77798085,0.0031961,104.69300972,224.94486929,575019.11122534
202208,3736450.22141824,0.00320627,104.8077501,221.35259538,575027.11071106
202209,3751204.66485563,0.00321644,104.94854305,215.57564346,575035.11019677
202210,3765959.10829302,0.00322661,105.06352354,211.7685025,575043.10968248
202211,3780713.55173041,0.00323677,105.17947214,210.95752737,575051.10916819
202212,3795467.9951678,0.00324694,105.28809655,211.91547308,575059.1086539
202301,3810222.4386052,0.00325711,105.41068472,212.64623489,575067.10813961
202302,3824976.88204259,0.00326728,105.52884722,212.09046272,575075.10762532
202303,3839731.32547998,0.00327745,105.64946696,210.46174892,575083.10711103
202304,3854485.76891737,0.00328761,105.76378368,208.60017804,575091.10659674
202305,3869240.21235476,0.00329778,105.8820024,207.18123934,575099.10608245
202306,3883994.65579215,0.00330795,105.99876564,206.32203874,575107.10556817
202307,3898749.09922954,0.00331812,106.11817208,205.72109059,575115.10505388
202308,3913503.54266694,0.00332829,106.23511571,205.02122023,575123.10453959
202309,3928257.98610433,0.00333845,106.3531693,204.06906985,575131.1040253
202310,3943012.42954172,0.00334862,106.47007001,202.93910641,575139.10351101
202311,3957766.87297911,0.00335879,106.58829685,201.79566792,575147.10299672
202312,3972521.3164165,0.00336896,106.70573514,200.74858779,575155.10248243
202401,3987275.75985389,0.00337913,106.82374735,199.80093757,575163.10196814
202402,4002030.20329128,0.00338929,106.94109656,198.88821699,575171.10145385
202403,4016784.64672868,0.00339946,107.05894329,197.94753794,575179.10093956
202404,4031539.09016607,0.00340963,107.17646513,196.95897755,575187.10042528
202405,4046293.53360346,0.0034198,107.29431473,195.94227624,575195.09991099
202406,4061047.97704085,0.00342997,107.41187816,194.92833228,575203.0993967
202407,4075802.42047824,0.00344013,107.52963554,193.93426258,575211.09888241
202408,4090556.86391563,0.0034503,107.6472253,192.95730204,575219.09836812
202409,4105311.30735302,0.00346047,107.76497053,191.98433249,575227.09785383
202410,4120065.75079042,0.00347064,107.88260089,191.00464089,575235.09733954
202411,4134820.19422781,0.0034808,108.0003213,190.01614162,575243.09682525
202412,4149574.6376652,0.00349097,108.11795929,189.02343476,575251.09631096
202501,4164329.08110259,0.00350114,108.23566328,188.0321516,575259.09579667
202502,4179083.52453998,0.00351131,108.35331708,187.04479684,575267.09528239
202503,4193837.96797737,0.00352148,108.4710146,186.06028478,575275.0947681
202504,4208592.41141476,0.00353164,108.58867531,185.07605158,575283.09425381
202505,4223346.85485215,0.00354181,108.70636439,184.090338,575291.09373952
202506,4238101.29828955,0.00355198,108.82402993,183.10305292,575299.09322523
202507,4252855.74172694,0.00356215,108.94171562,182.11518951,575307.09271094
202508,4267610.18516433,0.00357232,109.05938531,181.12774321,575315.09219665
202509,4282364.62860172,0.00358248,109.1770679,180.14104635,575323.09168236
202510,4297119.07203911,0.00359265,109.29473953,179.1548025,575331.09116807
202511,4311873.5154765,0.00360282,109.41242009,178.16852739,575339.09065378
202512,4326627.95891389,0.00361299,109.53009352,177.18194476,575347.0901395
202601,4341382.40235128,0.00362316,109.6477729,176.19509038,575355.08962521
202602,4356136.84578867,0.00363332,109.76544735,175.20816763,575363.08911092
202603,4370891.28922606,0.00364349,109.88312577,174.22134693,575371.08859663
202604,4385645.73266346,0.00365366,110.00080092,173.23466471,575379.08808234
202605,4400400.17610085,0.00366383,110.11847879,172.24805089,575387.08756805
202606,4415154.61953824,0.003674,110.23615446,171.2614168,575395.08705376
202607,4429909.06297563,0.00368416,110.35383192,170.27472157,575403.08653947
202608,4444663.50641302,0.00369433,110.47150789,169.28798094,575411.08602518
202609,4459417.94985041,0.0037045,110.58918508,168.30123488,575419.08551089
202610,4474172.3932878,0.00371467,110.70686128,167.31451152,575427.0849966
202611,4488926.83672519,0.00372484,110.82453829,166.32781299,575435.08448232
202612,4503681.28016258,0.003735,110.94221464,165.34112401,575443.08396803
