ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,195.07275129,486334.55045503
202202,3647923.56079389,0.00314526,104.02293198,185.89382151,485993.62187485
202203,3662678.00423128,0.00315543,104.19138319,173.21349614,485652.69329466
202204,3677432.44766867,0.0031656,104.36221861,169.852306,485311.76471447
202205,3692186.89110606,0.00317577,104.51521816,172.67811087,484970.83613429
202206,3706941.33454346,0.00318593,104.58789579,175.28329572,484629.9075541
202207,3721695.77798085,0.0031961,104.69300972,176.22855967,484288.97897392
202208,3736450.22141824,0.00320627,104.8077501,174.23336523,483948.05039373
202209,3751204.66485563,0.00321644,104.94854305,170.95588311,483607.12181355
202210,3765959.10829302,0.00322661,105.06352354,167.95533021,483266.19323336
202211,3780713.55173041,0.00323677,105.17947214,165.90308297,482925.26465318
202212,3795467.9951678,0.00324694,105.28809655,164.69751142,482584.33607299
202301,3810222.4386052,0.00325711,105.41068472,163.72651326,482243.40749281
202302,3824976.88204259,0.00326728,105.52884722,162.52453703,481902.47891262
202303,3839731.32547998,0.00327745,105.64946696,160.95998598,481561.55033243
202304,3854485.76891737,0.00328761,105.76378368,159.17084693,481220.62175225
202305,3869240.21235476,0.00329778,105.8820024,157.37185115,480879.69317206
202306,3883994.65579215,0.00330795,105.99876564,155.68906194,480538.76459188
202307,3898749.09922954,0.00331812,106.11817208,154.12589393,480197.83601169
202308,3913503.54266694,0.00332829,106.23511571,152.61319587,479856.90743151
202309,3928257.98610433,0.00333845,106.3531693,151.08160433,479515.97885132
202310,3943012.42954172,0.00334862,106.47007001,149.50301653,479175.05027114
202311,3957766.87297911,0.00335879,106.58829685,147.88928267,478834.12169095
202312,3972521.3164165,0.00336896,106.70573514,146.2680197,478493.19311077
202401,3987275.75985389,0.00337913,106.82374735,144.65939177,478152.26453058
202402,4002030.20329128,0.00338929,106.94109656,143.06735814,477811.33595039
202403,4016784.64672868,0.00339946,107.05894329,141.48432572,477470.40737021
202404,4031539.09016607,0.00340963,107.17646513,139.90063436,477129.47879002
202405,4046293.53360346,0.0034198,107.29431473,138.31118478,476788.55020984
202406,4061047.97704085,0.00342997,107.41187816,136.71649557,476447.62162965
202407,4075802.42047824,0.00344013,107.52963554,135.11997076,476106.69304947
202408,4090556.86391563,0.0034503,107.6472253,133.5246348,475765.76446928
202409,4105311.30735302,0.00346047,107.76497053,131.93150127,475424.8358891
202410,4120065.75079042,0.00347064,107.88260089,130.33983931,475083.90730891
202411,4134820.19422781,0.0034808,108.0003213,128.74836019,474742.97872873
202412,4149574.6376652,0.00349097,108.11795929,127.15622284,474402.05014854
202501,4164329.08110259,0.00350114,108.23566328,125.56333981,474061.12156835
202502,4179083.52453998,0.00351131,108.35331708,123.9701039,473720.19298817
202503,4193837.96797737,0.00352148,108.4710146,122.37694781,473379.26440798
202504,4208592.41141476,0.00353164,108.58867531,120.78407013,473038.3358278
202505,4223346.85485215,0.00354181,108.70636439,119.19141852,472697.40724761
202506,4238101.29828955,0.00355198,108.82402993,117.59882907,472356.47866743
202507,4252855.74172694,0.00356215,108.94171562,116.00617172,472015.55008724
202508,4267610.18516433,0.00357232,109.05938531,114.41341283,471674.62150706
202509,4282364.62860172,0.00358248,109.1770679,112.82059355,471333.69292687
202510,4297119.07203911,0.00359265,109.29473953,111.22777309,470992.76434669
202511,4311873.5154765,0.00360282,109.41242009,109.63498583,470651.8357665
202512,4326627.95891389,0.00361299,109.53009352,108.04223159,470310.90718631
202601,4341382.40235128,0.00362316,109.6477729,106.44949068,469969.97860613
202602,4356136.84578867,0.00363332,109.76544735,104.856744,469629.05002594
202603,4370891.28922606,0.00364349,109.88312577,103.26398411,469288.12144576
202604,4385645.73266346,0.00365366,110.00080092,101.67121463,468947.19286557
202605,4400400.17610085,0.00366383,110.11847879,100.0784433,468606.26428539
202606,4415154.61953824,0.003674,110.23615446,98.48567562,468265.3357052
202607,4429909.06297563,0.00368416,110.35383192,96.89291255,467924.40712502
202608,4444663.50641302,0.00369433,110.47150789,95.3001519,467583.47854483
202609,4459417.94985041,0.0037045,110.58918508,93.707391,467242.54996465
202610,4474172.3932878,0.00371467,110.70686128,92.11462846,466901.62138446
202611,4488926.83672519,0.00372484,110.82453829,90.52186448,466560.69280427
202612,4503681.28016258,0.003735,110.94221464,88.92910002,466219.76422409
