ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,120.61462937,340223.57919715
202202,3647923.56079389,0.00314526,104.02293198,109.90484556,339957.26732105
202203,3662678.00423128,0.00315543,104.19138319,107.43956015,339690.95544495
202204,3677432.44766867,0.0031656,104.36221861,109.97273544,339424.64356886
202205,3692186.89110606,0.00317577,104.51521816,113.8345186,339158.33169276
202206,3706941.33454346,0.00318593,104.58789579,114.77507484,338892.01981666
202207,3721695.77798085,0.0031961,104.69300972,112.68164025,338625.70794056
202208,3736450.22141824,0.00320627,104.8077501,109.48798724,338359.39606446
202209,3751204.66485563,0.00321644,104.94854305,107.30044029,338093.08418836
202210,3765959.10829302,0.00322661,105.06352354,106.68063655,337826.77231227
202211,3780713.55173041,0.00323677,105.17947214,106.85916675,337560.46043617
202212,3795467.9951678,0.00324694,105.28809655,106.76426858,337294.14856007
202301,3810222.4386052,0.00325711,105.41068472,105.92065854,337027.83668397
202302,3824976.88204259,0.00326728,105.52884722,104.57141788,336761.52480787
202303,3839731.32547998,0.00327745,105.64946696,103.23767981,336495.21293177
202304,3854485.76891737,0.00328761,105.76378368,102.23693533,336228.90105568
202305,3869240.21235476,0.00329778,105.8820024,101.52766138,335962.58917958
202306,3883994.65579215,0.00330795,105.99876564,100.8718685,335696.27730348
202307,3898749.09922954,0.00331812,106.11817208,100.08051025,335429.96542738
202308,3913503.54266694,0.00332829,106.23511571,99.1327739,335163.65355128
202309,3928257.98610433,0.00333845,106.3531693,98.1291418,334897.34167518
202310,3943012.42954172,0.00334862,106.47007001,97.17363929,334631.02979909
202311,3957766.87297911,0.00335879,106.58829685,96.29694779,334364.71792299
202312,3972521.3164165,0.00336896,106.70573514,95.46116996,334098.40604689
202401,3987275.75985389,0.00337913,106.82374735,94.61266292,333832.09417079
202402,4002030.20329128,0.00338929,106.94109656,93.72682124,333565.78229469
202403,4016784.64672868,0.00339946,107.05894329,92.81524207,333299.47041859
202404,4031539.09016607,0.00340963,107.17646513,91.90394399,333033.1585425
202405,4046293.53360346,0.0034198,107.29431473,91.00914302,332766.8466664
202406,4061047.97704085,0.00342997,107.41187816,90.12908704,332500.5347903
202407,4075802.42047824,0.00344013,107.52963554,89.25195728,332234.2229142
202408,4090556.86391563,0.0034503,107.6472253,88.3681689,331967.9110381
202409,4105311.30735302,0.00346047,107.76497053,87.47651075,331701.599162
202410,4120065.75079042,0.00347064,107.88260089,86.58193629,331435.28728591
202411,4134820.19422781,0.0034808,108.0003213,85.68969049,331168.97540981
202412,4149574.6376652,0.00349097,108.11795929,84.80139154,330902.66353371
202501,4164329.08110259,0.00350114,108.23566328,83.91519308,330636.35165761
202502,4179083.52453998,0.00351131,108.35331708,83.02840376,330370.03978151
202503,4193837.96797737,0.00352148,108.4710146,82.13975437,330103.72790541
202504,4208592.41141476,0.00353164,108.58867531,81.24979535,329837.41602932
202505,4223346.85485215,0.00354181,108.70636439,80.3598256,329571.10415322
202506,4238101.29828955,0.00355198,108.82402993,79.47067265,329304.79227712
202507,4252855.74172694,0.00356215,108.94171562,78.5822653,329038.48040102
202508,4267610.18516433,0.00357232,109.05938531,77.6940169,328772.16852492
202509,4282364.62860172,0.00358248,109.1770679,76.80544173,328505.85664882
202510,4297119.07203911,0.00359265,109.29473953,75.91647067,328239.54477273
202511,4311873.5154765,0.00360282,109.41242009,75.02734773,327973.23289663
202512,4326627.95891389,0.00361299,109.53009352,74.13833726,327706.92102053
202601,4341382.40235128,0.00362316,109.6477729,73.24952437,327440.60914443
202602,4356136.84578867,0.00363332,109.76544735,72.36081922,327174.29726833
202603,4370891.28922606,0.00364349,109.88312577,71.47208683,326907.98539223
202604,4385645.73266346,0.00365366,110.00080092,70.58326182,326641.67351614
202605,4400400.17610085,0.00366383,110.11847879,69.69437021,326375.36164004
202606,4415154.61953824,0.003674,110.23615446,68.80547681,326109.04976394
202607,4429909.06297563,0.00368416,110.35383192,67.91662382,325842.73788784
202608,4444663.50641302,0.00369433,110.47150789,67.02780853,325576.42601174
202609,4459417.94985041,0.0037045,110.58918508,66.13900181,325310.11413564
202610,4474172.3932878,0.00371467,110.70686128,65.25017907,325043.80225955
202611,4488926.83672519,0.00372484,110.82453829,64.36133643,324777.49038345
202612,4503681.28016258,0.003735,110.94221464,63.47248589,324511.17850735
