ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,139.45559712,396978.42942523
202202,3647923.56079389,0.00314526,104.02293198,129.55945648,396778.83240923
202203,3662678.00423128,0.00315543,104.19138319,126.66187868,396579.23539324
202204,3677432.44766867,0.0031656,104.36221861,129.83568243,396379.63837724
202205,3692186.89110606,0.00317577,104.51521816,132.96728353,396180.04136124
202206,3706941.33454346,0.00318593,104.58789579,132.9505505,395980.44434524
202207,3721695.77798085,0.0031961,104.69300972,130.8108886,395780.84732925
202208,3736450.22141824,0.00320627,104.8077501,128.09209768,395581.25031325
202209,3751204.66485563,0.00321644,104.94854305,126.00369852,395381.65329725
202210,3765959.10829302,0.00322661,105.06352354,124.68829183,395182.05628125
202211,3780713.55173041,0.00323677,105.17947214,123.72007829,394982.45926526
202212,3795467.9951678,0.00324694,105.28809655,122.68309375,394782.86224926
202301,3810222.4386052,0.00325711,105.41068472,121.42131166,394583.26523326
202302,3824976.88204259,0.00326728,105.52884722,120.00561801,394383.66821726
202303,3839731.32547998,0.00327745,105.64946696,118.56694321,394184.07120127
202304,3854485.76891737,0.00328761,105.76378368,117.1816496,393984.47418527
202305,3869240.21235476,0.00329778,105.8820024,115.85185946,393784.87716927
202306,3883994.65579215,0.00330795,105.99876564,114.54322787,393585.28015327
202307,3898749.09922954,0.00331812,106.11817208,113.22612145,393385.68313728
202308,3913503.54266694,0.00332829,106.23511571,111.891951,393186.08612128
202309,3928257.98610433,0.00333845,106.3531693,110.54751952,392986.48910528
202310,3943012.42954172,0.00334862,106.47007001,109.2025619,392786.89208928
202311,3957766.87297911,0.00335879,106.58829685,107.86200278,392587.29507329
202312,3972521.3164165,0.00336896,106.70573514,106.52536716,392387.69805729
202401,3987275.75985389,0.00337913,106.82374735,105.18993558,392188.10104129
202402,4002030.20329128,0.00338929,106.94109656,103.85365986,391988.5040253
202403,4016784.64672868,0.00339946,107.05894329,102.51611108,391788.9070093
202404,4031539.09016607,0.00340963,107.17646513,101.17789664,391589.3099933
202405,4046293.53360346,0.0034198,107.29431473,99.83972635,391389.7129773
202406,4061047.97704085,0.00342997,107.41187816,98.50190683,391190.11596131
202407,4075802.42047824,0.00344013,107.52963554,97.16435959,390990.51894531
202408,4090556.86391563,0.0034503,107.6472253,95.82687443,390790.92192931
202409,4105311.30735302,0.00346047,107.76497053,94.48931276,390591.32491331
202410,4120065.75079042,0.00347064,107.88260089,93.15165787,390391.72789732
202411,4134820.19422781,0.0034808,108.0003213,91.81396119,390192.13088132
202412,4149574.6376652,0.00349097,108.11795929,90.47627353,389992.53386532
202501,4164329.08110259,0.00350114,108.23566328,89.13861313,389792.93684932
202502,4179083.52453998,0.00351131,108.35331708,87.80097124,389593.33983333
202503,4193837.96797737,0.00352148,108.4710146,86.46333198,389393.74281733
202504,4208592.41141476,0.00353164,108.58867531,85.12568616,389194.14580133
202505,4223346.85485215,0.00354181,108.70636439,83.78803365,388994.54878533
202506,4238101.29828955,0.00355198,108.82402993,82.45037862,388794.95176934
202507,4252855.74172694,0.00356215,108.94171562,81.11272465,388595.35475334
202508,4267610.18516433,0.00357232,109.05938531,79.77507276,388395.75773734
202509,4282364.62860172,0.00358248,109.1770679,78.43742209,388196.16072134
202510,4297119.07203911,0.00359265,109.29473953,77.09977148,387996.56370535
202511,4311873.5154765,0.00360282,109.41242009,75.76212032,387796.96668935
202512,4326627.95891389,0.00361299,109.53009352,74.4244687,387597.36967335
202601,4341382.40235128,0.00362316,109.6477729,73.08681693,387397.77265736
202602,4356136.84578867,0.00363332,109.76544735,71.74916527,387198.17564136
202603,4370891.28922606,0.00364349,109.88312577,70.41151376,386998.57862536
202604,4385645.73266346,0.00365366,110.00080092,69.07386233,386798.98160936
202605,4400400.17610085,0.00366383,110.11847879,67.7362109,386599.38459337
202606,4415154.61953824,0.003674,110.23615446,66.39855942,386399.78757737
202607,4429909.06297563,0.00368416,110.35383192,65.06090791,386200.19056137
202608,4444663.50641302,0.00369433,110.47150789,63.72325639,386000.59354537
202609,4459417.94985041,0.0037045,110.58918508,62.38560488,385800.99652938
202610,4474172.3932878,0.00371467,110.70686128,61.04795339,385601.39951338
202611,4488926.83672519,0.00372484,110.82453829,59.71030189,385401.80249738
202612,4503681.28016258,0.003735,110.94221464,58.3726504,385202.20548138
