ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,95.05868333,230754.02334926
202202,3647923.56079389,0.00314526,104.02293198,92.79128552,230647.16752846
202203,3662678.00423128,0.00315543,104.19138319,89.85208759,230540.31170766
202204,3677432.44766867,0.0031656,104.36221861,89.23291112,230433.45588686
202205,3692186.89110606,0.00317577,104.51521816,89.9709455,230326.60006605
202206,3706941.33454346,0.00318593,104.58789579,90.41612446,230219.74424525
202207,3721695.77798085,0.0031961,104.69300972,90.34016058,230112.88842445
202208,3736450.22141824,0.00320627,104.8077501,89.68645526,230006.03260365
202209,3751204.66485563,0.00321644,104.94854305,88.89792414,229899.17678285
202210,3765959.10829302,0.00322661,105.06352354,88.3275116,229792.32096205
202211,3780713.55173041,0.00323677,105.17947214,87.9747208,229685.46514125
202212,3795467.9951678,0.00324694,105.28809655,87.71698049,229578.60932044
202301,3810222.4386052,0.00325711,105.41068472,87.41737119,229471.75349964
202302,3824976.88204259,0.00326728,105.52884722,87.02819839,229364.89767884
202303,3839731.32547998,0.00327745,105.64946696,86.58842618,229258.04185804
202304,3854485.76891737,0.00328761,105.76378368,86.15108875,229151.18603724
202305,3869240.21235476,0.00329778,105.8820024,85.74356455,229044.33021644
202306,3883994.65579215,0.00330795,105.99876564,85.36061301,228937.47439564
202307,3898749.09922954,0.00331812,106.11817208,84.98240468,228830.61857483
202308,3913503.54266694,0.00332829,106.23511571,84.59526007,228723.76275403
202309,3928257.98610433,0.00333845,106.3531693,84.19784453,228616.90693323
202310,3943012.42954172,0.00334862,106.47007001,83.79637796,228510.05111243
202311,3957766.87297911,0.00335879,106.58829685,83.39698168,228403.19529163
202312,3972521.3164165,0.00336896,106.70573514,83.00152506,228296.33947083
202401,3987275.75985389,0.00337913,106.82374735,82.60834501,228189.48365003
202402,4002030.20329128,0.00338929,106.94109656,82.21500694,228082.62782922
202403,4016784.64672868,0.00339946,107.05894329,81.82030666,227975.77200842
202404,4031539.09016607,0.00340963,107.17646513,81.42452198,227868.91618762
202405,4046293.53360346,0.0034198,107.29431473,81.02853714,227762.06036682
202406,4061047.97704085,0.00342997,107.41187816,80.63296279,227655.20454602
202407,4075802.42047824,0.00344013,107.52963554,80.23784908,227548.34872522
202408,4090556.86391563,0.0034503,107.6472253,79.84291054,227441.49290442
202409,4105311.30735302,0.00346047,107.76497053,79.44787501,227334.63708361
202410,4120065.75079042,0.00347064,107.88260089,79.05266202,227227.78126281
202411,4134820.19422781,0.0034808,108.0003213,78.65734859,227120.92544201
202412,4149574.6376652,0.00349097,108.11795929,78.26204423,227014.06962121
202501,4164329.08110259,0.00350114,108.23566328,77.86680163,226907.21380041
202502,4179083.52453998,0.00351131,108.35331708,77.47160725,226800.35797961
202503,4193837.96797737,0.00352148,108.4710146,77.07642111,226693.50215881
202504,4208592.41141476,0.00353164,108.58867531,76.68121615,226586.646338
202505,4223346.85485215,0.00354181,108.70636439,76.28599057,226479.7905172
202506,4238101.29828955,0.00355198,108.82402993,75.8907574,226372.9346964
202507,4252855.74172694,0.00356215,108.94171562,75.49552878,226266.0788756
202508,4267610.18516433,0.00357232,109.05938531,75.10030815,226159.2230548
202509,4282364.62860172,0.00358248,109.1770679,74.70509194,226052.367234
202510,4297119.07203911,0.00359265,109.29473953,74.30987524,225945.5114132
202511,4311873.5154765,0.00360282,109.41242009,73.91465573,225838.65559239
202512,4326627.95891389,0.00361299,109.53009352,73.51943409,225731.79977159
202601,4341382.40235128,0.00362316,109.6477729,73.12421211,225624.94395079
202602,4356136.84578867,0.00363332,109.76544735,72.72899099,225518.08812999
202603,4370891.28922606,0.00364349,109.88312577,72.3337708,225411.23230919
202604,4385645.73266346,0.00365366,110.00080092,71.93855093,225304.37648839
202605,4400400.17610085,0.00366383,110.11847879,71.54333085,225197.52066759
202606,4415154.61953824,0.003674,110.23615446,71.14811041,225090.66484678
202607,4429909.06297563,0.00368416,110.35383192,70.75288977,224983.80902598
202608,4444663.50641302,0.00369433,110.47150789,70.35766917,224876.95320518
202609,4459417.94985041,0.0037045,110.58918508,69.96244868,224770.09738438
202610,4474172.3932878,0.00371467,110.70686128,69.5672283,224663.24156358
202611,4488926.83672519,0.00372484,110.82453829,69.17200793,224556.38574278
202612,4503681.28016258,0.003735,110.94221464,68.77678751,224449.52992198
