ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,116.31345037,337168.71861474
202202,3647923.56079389,0.00314526,104.02293198,110.11278522,336942.52195439
202203,3662678.00423128,0.00315543,104.19138319,103.99437776,336716.32529405
202204,3677432.44766867,0.0031656,104.36221861,102.25553012,336490.1286337
202205,3692186.89110606,0.00317577,104.51521816,103.11296451,336263.93197335
202206,3706941.33454346,0.00318593,104.58789579,103.93004387,336037.73531301
202207,3721695.77798085,0.0031961,104.69300972,104.0470433,335811.53865266
202208,3736450.22141824,0.00320627,104.8077501,103.31264443,335585.34199232
202209,3751204.66485563,0.00321644,104.94854305,102.21214907,335359.14533197
202210,3765959.10829302,0.00322661,105.06352354,101.14278944,335132.94867163
202211,3780713.55173041,0.00323677,105.17947214,100.2601251,334906.75201128
202212,3795467.9951678,0.00324694,105.28809655,99.5342897,334680.55535094
202301,3810222.4386052,0.00325711,105.41068472,98.86381113,334454.35869059
202302,3824976.88204259,0.00326728,105.52884722,98.17455825,334228.16203025
202303,3839731.32547998,0.00327745,105.64946696,97.44400056,334001.9653699
202304,3854485.76891737,0.00328761,105.76378368,96.684876,333775.76870955
202305,3869240.21235476,0.00329778,105.8820024,95.91848959,333549.57204921
202306,3883994.65579215,0.00330795,105.99876564,95.15817671,333323.37538886
202307,3898749.09922954,0.00331812,106.11817208,94.406483,333097.17872852
202308,3913503.54266694,0.00332829,106.23511571,93.65979919,332870.98206817
202309,3928257.98610433,0.00333845,106.3531693,92.91378977,332644.78540783
202310,3943012.42954172,0.00334862,106.47007001,92.1661775,332418.58874748
202311,3957766.87297911,0.00335879,106.58829685,91.41683921,332192.39208714
202312,3972521.3164165,0.00336896,106.70573514,90.66666741,331966.19542679
202401,3987275.75985389,0.00337913,106.82374735,89.91651188,331739.99876644
202402,4002030.20329128,0.00338929,106.94109656,89.16673763,331513.8021061
202403,4016784.64672868,0.00339946,107.05894329,88.41729615,331287.60544575
202404,4031539.09016607,0.00340963,107.17646513,87.66798361,331061.40878541
202405,4046293.53360346,0.0034198,107.29431473,86.9186396,330835.21212506
202406,4061047.97704085,0.00342997,107.41187816,86.16921079,330609.01546472
202407,4075802.42047824,0.00344013,107.52963554,85.41972024,330382.81880437
202408,4090556.86391563,0.0034503,107.6472253,84.67021194,330156.62214403
202409,4105311.30735302,0.00346047,107.76497053,83.92071498,329930.42548368
202410,4120065.75079042,0.00347064,107.88260089,83.17123596,329704.22882334
202411,4134820.19422781,0.0034808,108.0003213,82.42176792,329478.03216299
202412,4149574.6376652,0.00349097,108.11795929,81.67230179,329251.83550264
202501,4164329.08110259,0.00350114,108.23566328,80.92283253,329025.6388423
202502,4179083.52453998,0.00351131,108.35331708,80.17335964,328799.44218195
202503,4193837.96797737,0.00352148,108.4710146,79.42388489,328573.24552161
202504,4208592.41141476,0.00353164,108.58867531,78.67441007,328347.04886126
202505,4223346.85485215,0.00354181,108.70636439,77.92493602,328120.85220092
202506,4238101.29828955,0.00355198,108.82402993,77.17546268,327894.65554057
202507,4252855.74172694,0.00356215,108.94171562,76.42598964,327668.45888023
202508,4267610.18516433,0.00357232,109.05938531,75.67651654,327442.26221988
202509,4282364.62860172,0.00358248,109.1770679,74.92704328,327216.06555954
202510,4297119.07203911,0.00359265,109.29473953,74.17756987,326989.86889919
202511,4311873.5154765,0.00360282,109.41242009,73.42809643,326763.67223884
202512,4326627.95891389,0.00361299,109.53009352,72.67862301,326537.4755785
202601,4341382.40235128,0.00362316,109.6477729,71.92914963,326311.27891815
202602,4356136.84578867,0.00363332,109.76544735,71.17967626,326085.08225781
202603,4370891.28922606,0.00364349,109.88312577,70.43020291,325858.88559746
202604,4385645.73266346,0.00365366,110.00080092,69.68072955,325632.68893712
202605,4400400.17610085,0.00366383,110.11847879,68.93125618,325406.49227677
202606,4415154.61953824,0.003674,110.23615446,68.1817828,325180.29561643
202607,4429909.06297563,0.00368416,110.35383192,67.43230943,324954.09895608
202608,4444663.50641302,0.00369433,110.47150789,66.68283606,324727.90229574
202609,4459417.94985041,0.0037045,110.58918508,65.93336269,324501.70563539
202610,4474172.3932878,0.00371467,110.70686128,65.18388932,324275.50897504
202611,4488926.83672519,0.00372484,110.82453829,64.43441595,324049.3123147
202612,4503681.28016258,0.003735,110.94221464,63.68494257,323823.11565435
