ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,139.77010386,385889.68436606
202202,3647923.56079389,0.00314526,104.02293198,125.63856073,385763.1714693
202203,3662678.00423128,0.00315543,104.19138319,110.19506241,385636.65857255
202204,3677432.44766867,0.0031656,104.36221861,113.70809402,385510.1456758
202205,3692186.89110606,0.00317577,104.51521816,125.95610729,385383.63277905
202206,3706941.33454346,0.00318593,104.58789579,131.94133297,385257.11988229
202207,3721695.77798085,0.0031961,104.69300972,130.44616842,385130.60698554
202208,3736450.22141824,0.00320627,104.8077501,123.60518328,385004.09408879
202209,3751204.66485563,0.00321644,104.94854305,118.01399797,384877.58119204
202210,3765959.10829302,0.00322661,105.06352354,116.57129016,384751.06829528
202211,3780713.55173041,0.00323677,105.17947214,118.10278382,384624.55539853
202212,3795467.9951678,0.00324694,105.28809655,119.71448224,384498.04250178
202301,3810222.4386052,0.00325711,105.41068472,119.42514517,384371.52960503
202302,3824976.88204259,0.00326728,105.52884722,117.40732061,384245.01670827
202303,3839731.32547998,0.00327745,105.64946696,115.0386527,384118.50381152
202304,3854485.76891737,0.00328761,105.76378368,113.46769764,383991.99091477
202305,3869240.21235476,0.00329778,105.8820024,112.84149628,383865.47801802
202306,3883994.65579215,0.00330795,105.99876564,112.55279295,383738.96512126
202307,3898749.09922954,0.00331812,106.11817208,111.96222616,383612.45222451
202308,3913503.54266694,0.00332829,106.23511571,110.88240889,383485.93932776
202309,3928257.98610433,0.00333845,106.3531693,109.55582397,383359.42643101
202310,3943012.42954172,0.00334862,106.47007001,108.32116431,383232.91353425
202311,3957766.87297911,0.00335879,106.58829685,107.32783107,383106.4006375
202312,3972521.3164165,0.00336896,106.70573514,106.49291236,382979.88774075
202401,3987275.75985389,0.00337913,106.82374735,105.64569292,382853.374844
202402,4002030.20329128,0.00338929,106.94109656,104.68563179,382726.86194724
202403,4016784.64672868,0.00339946,107.05894329,103.63179662,382600.34905049
202404,4031539.09016607,0.00340963,107.17646513,102.56595554,382473.83615374
202405,4046293.53360346,0.0034198,107.29431473,101.54953647,382347.32325699
202406,4061047.97704085,0.00342997,107.41187816,100.58536059,382220.81036023
202407,4075802.42047824,0.00344013,107.52963554,99.63650982,382094.29746348
202408,4090556.86391563,0.0034503,107.6472253,98.66790708,381967.78456673
202409,4105311.30735302,0.00346047,107.76497053,97.67166243,381841.27166998
202410,4120065.75079042,0.00347064,107.88260089,96.66319982,381714.75877322
202411,4134820.19422781,0.0034808,108.0003213,95.6614852,381588.24587647
202412,4149574.6376652,0.00349097,108.11795929,94.67369946,381461.73297972
202501,4164329.08110259,0.00350114,108.23566328,93.69412931,381335.22008297
202502,4179083.52453998,0.00351131,108.35331708,92.71301398,381208.70718621
202503,4193837.96797737,0.00352148,108.4710146,91.72522878,381082.19428946
202504,4208592.41141476,0.00353164,108.58867531,90.73242638,380955.68139271
202505,4223346.85485215,0.00354181,108.70636439,89.73938796,380829.16849596
202506,4238101.29828955,0.00355198,108.82402993,88.74935984,380702.6555992
202507,4252855.74172694,0.00356215,108.94171562,87.76219575,380576.14270245
202508,4267610.18516433,0.00357232,109.05938531,86.77567847,380449.6298057
202509,4282364.62860172,0.00358248,109.1770679,85.78790417,380323.11690895
202510,4297119.07203911,0.00359265,109.29473953,84.79858174,380196.60401219
202511,4311873.5154765,0.00360282,109.41242009,83.8086719,380070.09111544
202512,4326627.95891389,0.00361299,109.53009352,82.81922726,379943.57821869
202601,4341382.40235128,0.00362316,109.6477729,81.83057914,379817.06532194
202602,4356136.84578867,0.00363332,109.76544735,80.84234988,379690.55242518
202603,4370891.28922606,0.00364349,109.88312577,79.85398634,379564.03952843
202604,4385645.73266346,0.00365366,110.00080092,78.86523274,379437.52663168
202605,4400400.17610085,0.00366383,110.11847879,77.87621396,379311.01373493
202606,4415154.61953824,0.003674,110.23615446,76.88720679,379184.50083817
202607,4429909.06297563,0.00368416,110.35383192,75.89838044,379057.98794142
202608,4444663.50641302,0.00369433,110.47150789,74.90970955,378931.47504467
202609,4459417.94985041,0.0037045,110.58918508,73.92106259,378804.96214792
202610,4474172.3932878,0.00371467,110.70686128,72.93233732,378678.44925116
202611,4488926.83672519,0.00372484,110.82453829,71.94352611,378551.93635441
202612,4503681.28016258,0.003735,110.94221464,70.95468779,378425.42345766
