ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,99.49460156,305422.55496225
202202,3647923.56079389,0.00314526,104.02293198,91.39964943,305281.67433051
202203,3662678.00423128,0.00315543,104.19138319,84.27566563,305140.79369878
202204,3677432.44766867,0.0031656,104.36221861,85.8302515,304999.91306704
202205,3692186.89110606,0.00317577,104.51521816,88.52313734,304859.0324353
202206,3706941.33454346,0.00318593,104.58789579,90.21530447,304718.15180357
202207,3721695.77798085,0.0031961,104.69300972,89.6365295,304577.27117183
202208,3736450.22141824,0.00320627,104.8077501,88.00448435,304436.3905401
202209,3751204.66485563,0.00321644,104.94854305,86.4761373,304295.50990836
202210,3765959.10829302,0.00322661,105.06352354,85.59148852,304154.62927662
202211,3780713.55173041,0.00323677,105.17947214,85.17216864,304013.74864489
202212,3795467.9951678,0.00324694,105.28809655,84.83148534,303872.86801315
202301,3810222.4386052,0.00325711,105.41068472,84.32786988,303731.98738142
202302,3824976.88204259,0.00326728,105.52884722,83.65203516,303591.10674968
202303,3839731.32547998,0.00327745,105.64946696,82.91252867,303450.22611794
202304,3854485.76891737,0.00328761,105.76378368,82.20401927,303309.34548621
202305,3869240.21235476,0.00329778,105.8820024,81.55202835,303168.46485447
202306,3883994.65579215,0.00330795,105.99876564,80.93176523,303027.58422274
202307,3898749.09922954,0.00331812,106.11817208,80.3103179,302886.703591
202308,3913503.54266694,0.00332829,106.23511571,79.67249281,302745.82295927
202309,3928257.98610433,0.00333845,106.3531693,79.02169158,302604.94232753
202310,3943012.42954172,0.00334862,106.47007001,78.36810337,302464.06169579
202311,3957766.87297911,0.00335879,106.58829685,77.71850723,302323.18106406
202312,3972521.3164165,0.00336896,106.70573514,77.07356673,302182.30043232
202401,3987275.75985389,0.00337913,106.82374735,76.43054058,302041.41980059
202402,4002030.20329128,0.00338929,106.94109656,75.78683871,301900.53916885
202403,4016784.64672868,0.00339946,107.05894329,75.14164862,301759.65853711
202404,4031539.09016607,0.00340963,107.17646513,74.49555518,301618.77790538
202405,4046293.53360346,0.0034198,107.29431473,73.84943666,301477.89727364
202406,4061047.97704085,0.00342997,107.41187816,73.20373581,301337.01664191
202407,4075802.42047824,0.00344013,107.52963554,72.55839272,301196.13601017
202408,4090556.86391563,0.0034503,107.6472253,71.9131429,301055.25537844
202409,4105311.30735302,0.00346047,107.76497053,71.26779662,300914.3747467
202410,4120065.75079042,0.00347064,107.88260089,70.62232525,300773.49411496
202411,4134820.19422781,0.0034808,108.0003213,69.97679722,300632.61348323
202412,4149574.6376652,0.00349097,108.11795929,69.331283,300491.73285149
202501,4164329.08110259,0.00350114,108.23566328,68.68580773,300350.85221976
202502,4179083.52453998,0.00351131,108.35331708,68.04035797,300209.97158802
202503,4193837.96797737,0.00352148,108.4710146,67.39491041,300069.09095628
202504,4208592.41141476,0.00353164,108.58867531,66.7494523,299928.21032455
202505,4223346.85485215,0.00354181,108.70636439,66.10398438,299787.32969281
202506,4238101.29828955,0.00355198,108.82402993,65.45851347,299646.44906108
202507,4252855.74172694,0.00356215,108.94171562,64.81304485,299505.56842934
202508,4267610.18516433,0.00357232,109.05938531,64.16757958,299364.68779761
202509,4282364.62860172,0.00358248,109.1770679,63.52211595,299223.80716587
202510,4297119.07203911,0.00359265,109.29473953,62.87665208,299082.92653413
202511,4311873.5154765,0.00360282,109.41242009,62.23118719,298942.0459024
202512,4326627.95891389,0.00361299,109.53009352,61.58572159,298801.16527066
202601,4341382.40235128,0.00362316,109.6477729,60.94025589,298660.28463893
202602,4356136.84578867,0.00363332,109.76544735,60.29479045,298519.40400719
202603,4370891.28922606,0.00364349,109.88312577,59.64932528,298378.52337545
202604,4385645.73266346,0.00365366,110.00080092,59.0038602,298237.64274372
202605,4400400.17610085,0.00366383,110.11847879,58.35839507,298096.76211198
202606,4415154.61953824,0.003674,110.23615446,57.71292985,297955.88148025
202607,4429909.06297563,0.00368416,110.35383192,57.06746458,297815.00084851
202608,4444663.50641302,0.00369433,110.47150789,56.42199931,297674.12021678
202609,4459417.94985041,0.0037045,110.58918508,55.77653408,297533.23958504
202610,4474172.3932878,0.00371467,110.70686128,55.13106886,297392.3589533
202611,4488926.83672519,0.00372484,110.82453829,54.48560364,297251.47832157
202612,4503681.28016258,0.003735,110.94221464,53.84013842,297110.59768983
