ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,125.11663682,447841.32531892
202202,3647923.56079389,0.00314526,104.02293198,114.04011611,447448.6185122
202203,3662678.00423128,0.00315543,104.19138319,103.25827643,447055.91170548
202204,3677432.44766867,0.0031656,104.36221861,101.95292395,446663.20489875
202205,3692186.89110606,0.00317577,104.51521816,106.59380876,446270.49809203
202206,3706941.33454346,0.00318593,104.58789579,110.41265809,445877.79128531
202207,3721695.77798085,0.0031961,104.69300972,110.79724337,445485.08447859
202208,3736450.22141824,0.00320627,104.8077501,107.92416404,445092.37767186
202209,3751204.66485563,0.00321644,104.94854305,104.50196791,444699.67086514
202210,3765959.10829302,0.00322661,105.06352354,102.51311191,444306.96405842
202211,3780713.55173041,0.00323677,105.17947214,102.12970686,443914.2572517
202212,3795467.9951678,0.00324694,105.28809655,102.3540721,443521.55044497
202301,3810222.4386052,0.00325711,105.41068472,102.1223849,443128.84363825
202302,3824976.88204259,0.00326728,105.52884722,101.11654468,442736.13683153
202303,3839731.32547998,0.00327745,105.64946696,99.68955487,442343.43002481
202304,3854485.76891737,0.00328761,105.76378368,98.35482699,441950.72321808
202305,3869240.21235476,0.00329778,105.8820024,97.36223271,441558.01641136
202306,3883994.65579215,0.00330795,105.99876564,96.62118478,441165.30960464
202307,3898749.09922954,0.00331812,106.11817208,95.89816443,440772.60279792
202308,3913503.54266694,0.00332829,106.23511571,95.03754611,440379.8959912
202309,3928257.98610433,0.00333845,106.3531693,94.04168648,439987.18918447
202310,3943012.42954172,0.00334862,106.47007001,93.00798654,439594.48237775
202311,3957766.87297911,0.00335879,106.58829685,92.02282498,439201.77557103
202312,3972521.3164165,0.00336896,106.70573514,91.10461391,438809.06876431
202401,3987275.75985389,0.00337913,106.82374735,90.21713278,438416.36195758
202402,4002030.20329128,0.00338929,106.94109656,89.3164345,438023.65515086
202403,4016784.64672868,0.00339946,107.05894329,88.38501736,437630.94834414
202404,4031539.09016607,0.00340963,107.17646513,87.43396254,437238.24153742
202405,4046293.53360346,0.0034198,107.29431473,86.48397416,436845.53473069
202406,4061047.97704085,0.00342997,107.41187816,85.54695803,436452.82792397
202407,4075802.42047824,0.00344013,107.52963554,84.62099554,436060.12111725
202408,4090556.86391563,0.0034503,107.6472253,83.69707419,435667.41431053
202409,4105311.30735302,0.00346047,107.76497053,82.76823459,435274.70750381
202410,4120065.75079042,0.00347064,107.88260089,81.83370855,434882.00069708
202411,4134820.19422781,0.0034808,108.0003213,80.89705904,434489.29389036
202412,4149574.6376652,0.00349097,108.11795929,79.96197105,434096.58708364
202501,4164329.08110259,0.00350114,108.23566328,79.02959079,433703.88027692
202502,4179083.52453998,0.00351131,108.35331708,78.09869895,433311.17347019
202503,4193837.96797737,0.00352148,108.4710146,77.16749427,432918.46666347
202504,4208592.41141476,0.00353164,108.58867531,76.23509698,432525.75985675
202505,4223346.85485215,0.00354181,108.70636439,75.30181486,432133.05305003
202506,4238101.29828955,0.00355198,108.82402993,74.36846363,431740.3462433
202507,4252855.74172694,0.00356215,108.94171562,73.43559119,431347.63943658
202508,4267610.18516433,0.00357232,109.05938531,72.50319306,430954.93262986
202509,4282364.62860172,0.00358248,109.1770679,71.57093012,430562.22582314
202510,4297119.07203911,0.00359265,109.29473953,70.63849911,430169.51901641
202511,4311873.5154765,0.00360282,109.41242009,69.70583374,429776.81220969
202512,4326627.95891389,0.00361299,109.53009352,68.7730597,429384.10540297
202601,4341382.40235128,0.00362316,109.6477729,67.8403309,428991.39859625
202602,4356136.84578867,0.00363332,109.76544735,66.9077094,428598.69178953
202603,4370891.28922606,0.00364349,109.88312577,65.97515705,428205.9849828
202604,4385645.73266346,0.00365366,110.00080092,65.04260149,427813.27817608
202605,4400400.17610085,0.00366383,110.11847879,64.11000072,427420.57136936
202606,4415154.61953824,0.003674,110.23615446,63.17736114,427027.86456264
202607,4429909.06297563,0.00368416,110.35383192,62.24471418,426635.15775591
202608,4444663.50641302,0.00369433,110.47150789,61.31208429,426242.45094919
202609,4459417.94985041,0.0037045,110.58918508,60.37947432,425849.74414247
202610,4474172.3932878,0.00371467,110.70686128,59.44687189,425457.03733575
202611,4488926.83672519,0.00372484,110.82453829,58.51426408,425064.33052902
202612,4503681.28016258,0.003735,110.94221464,57.5816468,424671.6237223
