ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,139.18755746,387562.80844085
202202,3647923.56079389,0.00314526,104.02293198,135.02170659,387260.24964915
202203,3662678.00423128,0.00315543,104.19138319,127.17607631,386957.69085745
202204,3677432.44766867,0.0031656,104.36221861,126.54062493,386655.13206575
202205,3692186.89110606,0.00317577,104.51521816,132.42336633,386352.57327405
202206,3706941.33454346,0.00318593,104.58789579,133.87055581,386050.01448234
202207,3721695.77798085,0.0031961,104.69300972,134.17615404,385747.45569064
202208,3736450.22141824,0.00320627,104.8077501,131.84210657,385444.89689894
202209,3751204.66485563,0.00321644,104.94854305,129.35286242,385142.33810724
202210,3765959.10829302,0.00322661,105.06352354,128.04200205,384839.77931553
202211,3780713.55173041,0.00323677,105.17947214,127.53468917,384537.22052383
202212,3795467.9951678,0.00324694,105.28809655,127.5052271,384234.66173213
202301,3810222.4386052,0.00325711,105.41068472,127.20720638,383932.10294043
202302,3824976.88204259,0.00326728,105.52884722,126.49382162,383629.54414873
202303,3839731.32547998,0.00327745,105.64946696,125.53604514,383326.98535702
202304,3854485.76891737,0.00328761,105.76378368,124.56648307,383024.42656532
202305,3869240.21235476,0.00329778,105.8820024,123.74922743,382721.86777362
202306,3883994.65579215,0.00330795,105.99876564,123.06358533,382419.30898192
202307,3898749.09922954,0.00331812,106.11817208,122.41964403,382116.75019022
202308,3913503.54266694,0.00332829,106.23511571,121.73859082,381814.19139851
202309,3928257.98610433,0.00333845,106.3531693,120.99834896,381511.63260681
202310,3943012.42954172,0.00334862,106.47007001,120.22599388,381209.07381511
202311,3957766.87297911,0.00335879,106.58829685,119.45659021,380906.51502341
202312,3972521.3164165,0.00336896,106.70573514,118.70854433,380603.95623171
202401,3987275.75985389,0.00337913,106.82374735,117.97847831,380301.39744
202402,4002030.20329128,0.00338929,106.94109656,117.25282615,379998.8386483
202403,4016784.64672868,0.00339946,107.05894329,116.52114048,379696.2798566
202404,4031539.09016607,0.00340963,107.17646513,115.78131951,379393.7210649
202405,4046293.53360346,0.0034198,107.29431473,115.03743525,379091.1622732
202406,4061047.97704085,0.00342997,107.41187816,114.29440916,378788.60348149
202407,4075802.42047824,0.00344013,107.52963554,113.55447632,378486.04468979
202408,4090556.86391563,0.0034503,107.6472253,112.81691845,378183.48589809
202409,4105311.30735302,0.00346047,107.76497053,112.07979523,377880.92710639
202410,4120065.75079042,0.00347064,107.88260089,111.34172773,377578.36831468
202411,4134820.19422781,0.0034808,108.0003213,110.6025414,377275.80952298
202412,4149574.6376652,0.00349097,108.11795929,109.86285736,376973.25073128
202501,4164329.08110259,0.00350114,108.23566328,109.12334874,376670.69193958
202502,4179083.52453998,0.00351131,108.35331708,108.38428423,376368.13314788
202503,4193837.96797737,0.00352148,108.4710146,107.64553039,376065.57435617
202504,4208592.41141476,0.00353164,108.58867531,106.90681148,375763.01556447
202505,4223346.85485215,0.00354181,108.70636439,106.16794857,375460.45677277
202506,4238101.29828955,0.00355198,108.82402993,105.4289329,375157.89798107
202507,4252855.74172694,0.00356215,108.94171562,104.68985784,374855.33918937
202508,4267610.18516433,0.00357232,109.05938531,103.9508146,374552.78039766
202509,4282364.62860172,0.00358248,109.1770679,103.21183444,374250.22160596
202510,4297119.07203911,0.00359265,109.29473953,102.47289447,373947.66281426
202511,4311873.5154765,0.00360282,109.41242009,101.73395583,373645.10402256
202512,4326627.95891389,0.00361299,109.53009352,100.99499562,373342.54523086
202601,4341382.40235128,0.00362316,109.6477729,100.25601474,373039.98643915
202602,4356136.84578867,0.00363332,109.76544735,99.517027,372737.42764745
202603,4370891.28922606,0.00364349,109.88312577,98.77804467,372434.86885575
202604,4385645.73266346,0.00365366,110.00080092,98.0390712,372132.31006405
202605,4400400.17610085,0.00366383,110.11847879,97.30010287,371829.75127235
202606,4415154.61953824,0.003674,110.23615446,96.56113424,371527.19248064
202607,4429909.06297563,0.00368416,110.35383192,95.82216243,371224.63368894
202608,4444663.50641302,0.00369433,110.47150789,95.08318784,370922.07489724
202609,4459417.94985041,0.0037045,110.58918508,94.34421251,370619.51610554
202610,4474172.3932878,0.00371467,110.70686128,93.60523805,370316.95731383
202611,4488926.83672519,0.00372484,110.82453829,92.86626482,370014.39852213
202612,4503681.28016258,0.003735,110.94221464,92.12729224,369711.83973043
