ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,163.63753445,463193.23745199
202202,3647923.56079389,0.00314526,104.02293198,166.75474252,462982.00181484
202203,3662678.00423128,0.00315543,104.19138319,162.69607389,462770.7661777
202204,3677432.44766867,0.0031656,104.36221861,157.5363788,462559.53054055
202205,3692186.89110606,0.00317577,104.51521816,154.30148257,462348.2949034
202206,3706941.33454346,0.00318593,104.58789579,153.81872497,462137.05926626
202207,3721695.77798085,0.0031961,104.69300972,154.60629677,461925.82362911
202208,3736450.22141824,0.00320627,104.8077501,154.95452272,461714.58799196
202209,3751204.66485563,0.00321644,104.94854305,154.16291502,461503.35235482
202210,3765959.10829302,0.00322661,105.06352354,152.59626103,461292.11671767
202211,3780713.55173041,0.00323677,105.17947214,150.9951706,461080.88108052
202212,3795467.9951678,0.00324694,105.28809655,149.81482449,460869.64544337
202301,3810222.4386052,0.00325711,105.41068472,149.0350511,460658.40980623
202302,3824976.88204259,0.00326728,105.52884722,148.37173406,460447.17416908
202303,3839731.32547998,0.00327745,105.64946696,147.57992797,460235.93853193
202304,3854485.76891737,0.00328761,105.76378368,146.60401566,460024.70289479
202305,3869240.21235476,0.00329778,105.8820024,145.53668277,459813.46725764
202306,3883994.65579215,0.00330795,105.99876564,144.49416052,459602.23162049
202307,3898749.09922954,0.00331812,106.11817208,143.52741618,459390.99598335
202308,3913503.54266694,0.00332829,106.23511571,142.61468566,459179.7603462
202309,3928257.98610433,0.00333845,106.3531693,141.70655299,458968.52470905
202310,3943012.42954172,0.00334862,106.47007001,140.77105413,458757.28907191
202311,3957766.87297911,0.00335879,106.58829685,139.8081366,458546.05343476
202312,3972521.3164165,0.00336896,106.70573514,138.83640696,458334.81779761
202401,3987275.75985389,0.00337913,106.82374735,137.87271368,458123.58216047
202402,4002030.20329128,0.00338929,106.94109656,136.92142687,457912.34652332
202403,4016784.64672868,0.00339946,107.05894329,135.9766639,457701.11088617
202404,4031539.09016607,0.00340963,107.17646513,135.03055729,457489.87524903
202405,4046293.53360346,0.0034198,107.29431473,134.07942893,457278.63961188
202406,4061047.97704085,0.00342997,107.41187816,133.12454574,457067.40397473
202407,4075802.42047824,0.00344013,107.52963554,132.16919932,456856.16833759
202408,4090556.86391563,0.0034503,107.6472253,131.21562551,456644.93270044
202409,4105311.30735302,0.00346047,107.76497053,130.26392422,456433.69706329
202410,4120065.75079042,0.00347064,107.88260089,129.31288098,456222.46142615
202411,4134820.19422781,0.0034808,108.0003213,128.36133972,456011.225789
202412,4149574.6376652,0.00349097,108.11795929,127.40896429,455799.99015185
202501,4164329.08110259,0.00350114,108.23566328,126.45612553,455588.7545147
202502,4179083.52453998,0.00351131,108.35331708,125.50335478,455377.51887756
202503,4193837.96797737,0.00352148,108.4710146,124.55091592,455166.28324041
202504,4208592.41141476,0.00353164,108.58867531,123.59873733,454955.04760326
202505,4223346.85485215,0.00354181,108.70636439,122.64660032,454743.81196612
202506,4238101.29828955,0.00355198,108.82402993,121.694349,454532.57632897
202507,4252855.74172694,0.00356215,108.94171562,120.74197008,454321.34069182
202508,4267610.18516433,0.00357232,109.05938531,119.78954255,454110.10505468
202509,4282364.62860172,0.00358248,109.1770679,118.83714554,453898.86941753
202510,4297119.07203911,0.00359265,109.29473953,117.88480449,453687.63378038
202511,4311873.5154765,0.00360282,109.41242009,116.93249621,453476.39814324
202512,4326627.95891389,0.00361299,109.53009352,115.98018489,453265.16250609
202601,4341382.40235128,0.00362316,109.6477729,115.02785169,453053.92686894
202602,4356136.84578867,0.00363332,109.76544735,114.07550051,452842.6912318
202603,4370891.28922606,0.00364349,109.88312577,113.12314582,452631.45559465
202604,4385645.73266346,0.00365366,110.00080092,112.17079847,452420.2199575
202605,4400400.17610085,0.00366383,110.11847879,111.21845979,452208.98432036
202606,4415154.61953824,0.003674,110.23615446,110.26612468,451997.74868321
202607,4429909.06297563,0.00368416,110.35383192,109.31378771,451786.51304606
202608,4444663.50641302,0.00369433,110.47150789,108.36144701,451575.27740892
202609,4459417.94985041,0.0037045,110.58918508,107.40910399,451364.04177177
202610,4474172.3932878,0.00371467,110.70686128,106.45676107,451152.80613462
202611,4488926.83672519,0.00372484,110.82453829,105.50441959,450941.57049747
202612,4503681.28016258,0.003735,110.94221464,104.55207935,450730.33486033
