ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,75.81223369,299579.5873477
202202,3647923.56079389,0.00314526,104.02293198,70.99789127,299224.19692467
202203,3662678.00423128,0.00315543,104.19138319,67.55858987,298868.80650165
202204,3677432.44766867,0.0031656,104.36221861,66.46846357,298513.41607862
202205,3692186.89110606,0.00317577,104.51521816,68.07510584,298158.0256556
202206,3706941.33454346,0.00318593,104.58789579,68.22623852,297802.63523258
202207,3721695.77798085,0.0031961,104.69300972,67.54004402,297447.24480955
202208,3736450.22141824,0.00320627,104.8077501,66.12980259,297091.85438653
202209,3751204.66485563,0.00321644,104.94854305,64.63281555,296736.4639635
202210,3765959.10829302,0.00322661,105.06352354,63.59791259,296381.07354048
202211,3780713.55173041,0.00323677,105.17947214,62.82476469,296025.68311745
202212,3795467.9951678,0.00324694,105.28809655,62.13833144,295670.29269443
202301,3810222.4386052,0.00325711,105.41068472,61.35641359,295314.9022714
202302,3824976.88204259,0.00326728,105.52884722,60.44566714,294959.51184838
202303,3839731.32547998,0.00327745,105.64946696,59.48855983,294604.12142535
202304,3854485.76891737,0.00328761,105.76378368,58.54726873,294248.73100233
202305,3869240.21235476,0.00329778,105.8820024,57.64879693,293893.34057931
202306,3883994.65579215,0.00330795,105.99876564,56.77730871,293537.95015628
202307,3898749.09922954,0.00331812,106.11817208,55.90595334,293182.55973326
202308,3913503.54266694,0.00332829,106.23511571,55.02181666,292827.16931023
202309,3928257.98610433,0.00333845,106.3531693,54.12608501,292471.77888721
202310,3943012.42954172,0.00334862,106.47007001,53.22736588,292116.38846418
202311,3957766.87297911,0.00335879,106.58829685,52.3320697,291760.99804116
202312,3972521.3164165,0.00336896,106.70573514,51.44114945,291405.60761813
202401,3987275.75985389,0.00337913,106.82374735,50.5522484,291050.21719511
202402,4002030.20329128,0.00338929,106.94109656,49.66276783,290694.82677209
202403,4016784.64672868,0.00339946,107.05894329,48.77176553,290339.43634906
202404,4031539.09016607,0.00340963,107.17646513,47.87977222,289984.04592604
202405,4046293.53360346,0.0034198,107.29431473,46.98771636,289628.65550301
202406,4061047.97704085,0.00342997,107.41187816,46.09612263,289273.26507999
202407,4075802.42047824,0.00344013,107.52963554,45.20495154,288917.87465696
202408,4090556.86391563,0.0034503,107.6472253,44.31390139,288562.48423394
202409,4105311.30735302,0.00346047,107.76497053,43.42273636,288207.09381091
202410,4120065.75079042,0.00347064,107.88260089,42.53141103,287851.70338789
202411,4134820.19422781,0.0034808,108.0003213,41.64000908,287496.31296487
202412,4149574.6376652,0.00349097,108.11795929,40.74862463,287140.92254184
202501,4164329.08110259,0.00350114,108.23566328,39.85729453,286785.53211882
202502,4179083.52453998,0.00351131,108.35331708,38.9660016,286430.14169579
202503,4193837.96797737,0.00352148,108.4710146,38.07471217,286074.75127277
202504,4208592.41141476,0.00353164,108.58867531,37.18340656,285719.36084974
202505,4223346.85485215,0.00354181,108.70636439,36.29208542,285363.97042672
202506,4238101.29828955,0.00355198,108.82402993,35.40075942,285008.58000369
202507,4252855.74172694,0.00356215,108.94171562,34.5094373,284653.18958067
202508,4267610.18516433,0.00357232,109.05938531,33.618121,284297.79915764
202509,4282364.62860172,0.00358248,109.1770679,32.72680761,283942.40873462
202510,4297119.07203911,0.00359265,109.29473953,31.83549372,283587.0183116
202511,4311873.5154765,0.00360282,109.41242009,30.94417788,283231.62788857
202512,4326627.95891389,0.00361299,109.53009352,30.05286066,282876.23746555
202601,4341382.40235128,0.00362316,109.6477729,29.16154327,282520.84704252
202602,4356136.84578867,0.00363332,109.76544735,28.27022644,282165.4566195
202603,4370891.28922606,0.00364349,109.88312577,27.37891018,281810.06619647
202604,4385645.73266346,0.00365366,110.00080092,26.48759412,281454.67577345
202605,4400400.17610085,0.00366383,110.11847879,25.59627792,281099.28535042
202606,4415154.61953824,0.003674,110.23615446,24.70496151,280743.8949274
202607,4429909.06297563,0.00368416,110.35383192,23.81364499,280388.50450438
202608,4444663.50641302,0.00369433,110.47150789,22.92232849,280033.11408135
202609,4459417.94985041,0.0037045,110.58918508,22.03101206,279677.72365833
202610,4474172.3932878,0.00371467,110.70686128,21.13969567,279322.3332353
202611,4488926.83672519,0.00372484,110.82453829,20.2483793,278966.94281228
202612,4503681.28016258,0.003735,110.94221464,19.3570629,278611.55238925
