ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,128.71470683,369173.84933586
202202,3647923.56079389,0.00314526,104.02293198,120.40240384,369000.80775597
202203,3662678.00423128,0.00315543,104.19138319,115.39461799,368827.76617609
202204,3677432.44766867,0.0031656,104.36221861,116.112494,368654.7245962
202205,3692186.89110606,0.00317577,104.51521816,129.01554598,368481.68301632
202206,3706941.33454346,0.00318593,104.58789579,129.12644103,368308.64143643
202207,3721695.77798085,0.0031961,104.69300972,125.84265667,368135.59985655
202208,3736450.22141824,0.00320627,104.8077501,120.51821039,367962.55827666
202209,3751204.66485563,0.00321644,104.94854305,116.77386092,367789.51669677
202210,3765959.10829302,0.00322661,105.06352354,117.56710962,367616.47511689
202211,3780713.55173041,0.00323677,105.17947214,118.93798774,367443.433537
202212,3795467.9951678,0.00324694,105.28809655,119.36919801,367270.39195712
202301,3810222.4386052,0.00325711,105.41068472,118.05052355,367097.35037723
202302,3824976.88204259,0.00326728,105.52884722,115.80077429,366924.30879735
202303,3839731.32547998,0.00327745,105.64946696,114.15667807,366751.26721746
202304,3854485.76891737,0.00328761,105.76378368,113.38653798,366578.22563757
202305,3869240.21235476,0.00329778,105.8820024,113.10971998,366405.18405769
202306,3883994.65579215,0.00330795,105.99876564,112.65316767,366232.1424778
202307,3898749.09922954,0.00331812,106.11817208,111.70315762,366059.10089792
202308,3913503.54266694,0.00332829,106.23511571,110.48063965,365886.05931803
202309,3928257.98610433,0.00333845,106.3531693,109.31922128,365713.01773815
202310,3943012.42954172,0.00334862,106.47007001,108.39829032,365539.97615826
202311,3957766.87297911,0.00335879,106.58829685,107.64260041,365366.93457837
202312,3972521.3164165,0.00336896,106.70573514,106.86912391,365193.89299849
202401,3987275.75985389,0.00337913,106.82374735,105.97714898,365020.8514186
202402,4002030.20329128,0.00338929,106.94109656,104.99276212,364847.80983872
202403,4016784.64672868,0.00339946,107.05894329,104.00687372,364674.76825883
202404,4031539.09016607,0.00340963,107.17646513,103.07974538,364501.72667895
202405,4046293.53360346,0.0034198,107.29431473,102.20345481,364328.68509906
202406,4061047.97704085,0.00342997,107.41187816,101.33303552,364155.64351917
202407,4075802.42047824,0.00344013,107.52963554,100.43447252,363982.60193929
202408,4090556.86391563,0.0034503,107.6472253,99.50804134,363809.5603594
202409,4105311.30735302,0.00346047,107.76497053,98.57602002,363636.51877952
202410,4120065.75079042,0.00347064,107.88260089,97.65721826,363463.47719963
202411,4134820.19422781,0.0034808,108.0003213,96.75340677,363290.43561975
202412,4149574.6376652,0.00349097,108.11795929,95.85384963,363117.39403986
202501,4164329.08110259,0.00350114,108.23566328,94.94822004,362944.35245998
202502,4179083.52453998,0.00351131,108.35331708,94.03463653,362771.31088009
202503,4193837.96797737,0.00352148,108.4710146,93.11816921,362598.2693002
202504,4208592.41141476,0.00353164,108.58867531,92.2043916,362425.22772032
202505,4223346.85485215,0.00354181,108.70636439,91.29478652,362252.18614043
202506,4238101.29828955,0.00355198,108.82402993,90.38701194,362079.14456055
202507,4252855.74172694,0.00356215,108.94171562,89.47810138,361906.10298066
202508,4267610.18516433,0.00357232,109.05938531,88.5670303,361733.06140078
202509,4282364.62860172,0.00358248,109.1770679,87.65484511,361560.01982089
202510,4297119.07203911,0.00359265,109.29473953,86.74310603,361386.978241
202511,4311873.5154765,0.00360282,109.41242009,85.83247131,361213.93666112
202512,4326627.95891389,0.00361299,109.53009352,84.92249357,361040.89508123
202601,4341382.40235128,0.00362316,109.6477729,84.01236266,360867.85350135
202602,4356136.84578867,0.00363332,109.76544735,83.10167464,360694.81192146
202603,4370891.28922606,0.00364349,109.88312577,82.19060865,360521.77034158
202604,4385645.73266346,0.00365366,110.00080092,81.27958003,360348.72876169
202605,4400400.17610085,0.00366383,110.11847879,80.36882845,360175.6871818
202606,4415154.61953824,0.003674,110.23615446,79.45828997,360002.64560192
202607,4429909.06297563,0.00368416,110.35383192,78.54775446,359829.60402203
202608,4444663.50641302,0.00369433,110.47150789,77.63708335,359656.56244215
202609,4459417.94985041,0.0037045,110.58918508,76.72629413,359483.52086226
202610,4474172.3932878,0.00371467,110.70686128,75.81549166,359310.47928238
202611,4488926.83672519,0.00372484,110.82453829,74.90475438,359137.43770249
202612,4503681.28016258,0.003735,110.94221464,73.99408156,358964.3961226
