ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,111.34868163,286638.32419745
202202,3647923.56079389,0.00314526,104.02293198,100.76371547,286471.54629137
202203,3662678.00423128,0.00315543,104.19138319,92.71422374,286304.7683853
202204,3677432.44766867,0.0031656,104.36221861,99.51380209,286137.99047923
202205,3692186.89110606,0.00317577,104.51521816,112.72910292,285971.21257316
202206,3706941.33454346,0.00318593,104.58789579,113.66525459,285804.43466709
202207,3721695.77798085,0.0031961,104.69300972,108.72681723,285637.65676102
202208,3736450.22141824,0.00320627,104.8077501,101.49326789,285470.87885495
202209,3751204.66485563,0.00321644,104.94854305,98.37345901,285304.10094887
202210,3765959.10829302,0.00322661,105.06352354,100.91227988,285137.3230428
202211,3780713.55173041,0.00323677,105.17947214,104.05973932,284970.54513673
202212,3795467.9951678,0.00324694,105.28809655,104.8614499,284803.76723066
202301,3810222.4386052,0.00325711,105.41068472,102.71554981,284636.98932459
202302,3824976.88204259,0.00326728,105.52884722,99.74123954,284470.21141852
202303,3839731.32547998,0.00327745,105.64946696,98.29352215,284303.43351245
202304,3854485.76891737,0.00328761,105.76378368,98.54456793,284136.65560638
202305,3869240.21235476,0.00329778,105.8820024,99.29023992,283969.8777003
202306,3883994.65579215,0.00330795,105.99876564,99.23622211,283803.09979423
202307,3898749.09922954,0.00331812,106.11817208,98.13688091,283636.32188816
202308,3913503.54266694,0.00332829,106.23511571,96.73289838,283469.54398209
202309,3928257.98610433,0.00333845,106.3531693,95.77927701,283302.76607602
202310,3943012.42954172,0.00334862,106.47007001,95.43333681,283135.98816995
202311,3957766.87297911,0.00335879,106.58829685,95.29115161,282969.21026388
202312,3972521.3164165,0.00336896,106.70573514,94.89356288,282802.4323578
202401,3987275.75985389,0.00337913,106.82374735,94.13870331,282635.65445173
202402,4002030.20329128,0.00338929,106.94109656,93.25530193,282468.87654566
202403,4016784.64672868,0.00339946,107.05894329,92.51284889,282302.09863959
202404,4031539.09016607,0.00340963,107.17646513,91.98131727,282135.32073352
202405,4046293.53360346,0.0034198,107.29431473,91.53071265,281968.54282745
202406,4061047.97704085,0.00342997,107.41187816,91.0019236,281801.76492138
202407,4075802.42047824,0.00344013,107.52963554,90.34944618,281634.98701531
202408,4090556.86391563,0.0034503,107.6472253,89.64601453,281468.20910923
202409,4105311.30735302,0.00346047,107.76497053,88.98577391,281301.43120316
202410,4120065.75079042,0.00347064,107.88260089,88.39807238,281134.65329709
202411,4134820.19422781,0.0034808,108.0003213,87.84214952,280967.87539102
202412,4149574.6376652,0.00349097,108.11795929,87.26255864,280801.09748495
202501,4164329.08110259,0.00350114,108.23566328,86.64046436,280634.31957888
202502,4179083.52453998,0.00351131,108.35331708,85.99863688,280467.54167281
202503,4193837.96797737,0.00352148,108.4710146,85.36971383,280300.76376673
202504,4208592.41141476,0.00353164,108.58867531,84.76564854,280133.98586066
202505,4223346.85485215,0.00354181,108.70636439,84.17378881,279967.20795459
202506,4238101.29828955,0.00355198,108.82402993,83.57494363,279800.43004852
202507,4252855.74172694,0.00356215,108.94171562,82.96157802,279633.65214245
202508,4267610.18516433,0.00357232,109.05938531,82.34069516,279466.87423638
202509,4282364.62860172,0.00358248,109.1770679,81.72356063,279300.09633031
202510,4297119.07203911,0.00359265,109.29473953,81.11489675,279133.31842424
202511,4311873.5154765,0.00360282,109.41242009,80.51084638,278966.54051816
202512,4326627.95891389,0.00361299,109.53009352,79.90480465,278799.76261209
202601,4341382.40235128,0.00362316,109.6477729,79.29382855,278632.98470602
202602,4356136.84578867,0.00363332,109.76544735,78.68003018,278466.20679995
202603,4370891.28922606,0.00364349,109.88312577,78.06727676,278299.42889388
202604,4385645.73266346,0.00365366,110.00080092,77.45739376,278132.65098781
202605,4400400.17610085,0.00366383,110.11847879,76.84923202,277965.87308174
202606,4415154.61953824,0.003674,110.23615446,76.24053039,277799.09517566
202607,4429909.06297563,0.00368416,110.35383192,75.63016135,277632.31726959
202608,4444663.50641302,0.00369433,110.47150789,75.01874543,277465.53936352
202609,4459417.94985041,0.0037045,110.58918508,74.40760297,277298.76145745
202610,4474172.3932878,0.00371467,110.70686128,73.79742768,277131.98355138
202611,4488926.83672519,0.00372484,110.82453829,73.18788745,276965.20564531
202612,4503681.28016258,0.003735,110.94221464,72.5782124,276798.42773924
