ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,240.82814372,658900.52680639
202202,3647923.56079389,0.00314526,104.02293198,228.31267538,658704.59221301
202203,3662678.00423128,0.00315543,104.19138319,211.34914217,658508.65761963
202204,3677432.44766867,0.0031656,104.36221861,204.43722714,658312.72302625
202205,3692186.89110606,0.00317577,104.51521816,208.06987974,658116.78843286
202206,3706941.33454346,0.00318593,104.58789579,214.38902674,657920.85383948
202207,3721695.77798085,0.0031961,104.69300972,217.48809647,657724.9192461
202208,3736450.22141824,0.00320627,104.8077501,214.96747814,657528.98465272
202209,3751204.66485563,0.00321644,104.94854305,209.57545806,657333.05005934
202210,3765959.10829302,0.00322661,105.06352354,205.09068475,657137.11546595
202211,3780713.55173041,0.00323677,105.17947214,203.31144683,656941.18087257
202212,3795467.9951678,0.00324694,105.28809655,203.56042452,656745.24627919
202301,3810222.4386052,0.00325711,105.41068472,203.91860871,656549.31168581
202302,3824976.88204259,0.00326728,105.52884722,203.06044171,656353.37709243
202303,3839731.32547998,0.00327745,105.64946696,200.97404083,656157.44249904
202304,3854485.76891737,0.00328761,105.76378368,198.51947662,655961.50790566
202305,3869240.21235476,0.00329778,105.8820024,196.52624611,655765.57331228
202306,3883994.65579215,0.00330795,105.99876564,195.21150515,655569.6387189
202307,3898749.09922954,0.00331812,106.11817208,194.23785127,655373.70412551
202308,3913503.54266694,0.00332829,106.23511571,193.14154528,655177.76953213
202309,3928257.98610433,0.00333845,106.3531693,191.70428272,654981.83493875
202310,3943012.42954172,0.00334862,106.47007001,190.02421275,654785.90034537
202311,3957766.87297911,0.00335879,106.58829685,188.33791523,654589.96575199
202312,3972521.3164165,0.00336896,106.70573514,186.80547018,654394.0311586
202401,3987275.75985389,0.00337913,106.82374735,185.4231566,654198.09656522
202402,4002030.20329128,0.00338929,106.94109656,184.08211961,654002.16197184
202403,4016784.64672868,0.00339946,107.05894329,182.68149783,653806.22737846
202404,4031539.09016607,0.00340963,107.17646513,181.19716082,653610.29278508
202405,4046293.53360346,0.0034198,107.29431473,179.67256405,653414.35819169
202406,4061047.97704085,0.00342997,107.41187816,178.16482898,653218.42359831
202407,4075802.42047824,0.00344013,107.52963554,176.69958477,653022.48900493
202408,4090556.86391563,0.0034503,107.6472253,175.2635792,652826.55441155
202409,4105311.30735302,0.00346047,107.76497053,173.82737197,652630.61981817
202410,4120065.75079042,0.00347064,107.88260089,172.37173757,652434.68522478
202411,4134820.19422781,0.0034808,108.0003213,170.89779598,652238.7506314
202412,4149574.6376652,0.00349097,108.11795929,169.41925846,652042.81603802
202501,4164329.08110259,0.00350114,108.23566328,167.94840269,651846.88144464
202502,4179083.52453998,0.00351131,108.35331708,166.4878619,651650.94685126
202503,4193837.96797737,0.00352148,108.4710146,165.03205812,651455.01225787
202504,4208592.41141476,0.00353164,108.58867531,163.57396454,651259.07766449
202505,4223346.85485215,0.00354181,108.70636439,162.11058107,651063.14307111
202506,4238101.29828955,0.00355198,108.82402993,160.643683,650867.20847773
202507,4252855.74172694,0.00356215,108.94171562,159.17692908,650671.27388435
202508,4267610.18516433,0.00357232,109.05938531,157.71262422,650475.33929096
202509,4282364.62860172,0.00358248,109.1770679,156.25054911,650279.40469758
202510,4297119.07203911,0.00359265,109.29473953,154.78897923,650083.4701042
202511,4311873.5154765,0.00360282,109.41242009,153.32642198,649887.53551082
202512,4326627.95891389,0.00361299,109.53009352,151.86259515,649691.60091744
202601,4341382.40235128,0.00362316,109.6477729,150.39821283,649495.66632405
202602,4356136.84578867,0.00363332,109.76544735,148.93413851,649299.73173067
202603,4370891.28922606,0.00364349,109.88312577,147.47072198,649103.79713729
202604,4385645.73266346,0.00365366,110.00080092,146.00772718,648907.86254391
202605,4400400.17610085,0.00366383,110.11847879,144.54469992,648711.92795052
202606,4415154.61953824,0.003674,110.23615446,143.08136442,648515.99335714
202607,4429909.06297563,0.00368416,110.35383192,141.61775767,648320.05876376
202608,4444663.50641302,0.00369433,110.47150789,140.15409626,648124.12417038
202609,4459417.94985041,0.0037045,110.58918508,138.69056142,647928.189577
202610,4474172.3932878,0.00371467,110.70686128,137.22718268,647732.25498361
202611,4488926.83672519,0.00372484,110.82453829,135.76386882,647536.32039023
202612,4503681.28016258,0.003735,110.94221464,134.30051387,647340.38579685
