ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,202.55601249,376993.54044014
202202,3647923.56079389,0.00314526,104.02293198,190.92955351,376767.99491536
202203,3662678.00423128,0.00315543,104.19138319,172.52255325,376542.44939057
202204,3677432.44766867,0.0031656,104.36221861,164.77103005,376316.90386579
202205,3692186.89110606,0.00317577,104.51521816,170.02928611,376091.358341
202206,3706941.33454346,0.00318593,104.58789579,176.84093577,375865.81281622
202207,3721695.77798085,0.0031961,104.69300972,180.68095231,375640.26729143
202208,3736450.22141824,0.00320627,104.8077501,179.11379542,375414.72176665
202209,3751204.66485563,0.00321644,104.94854305,174.98345278,375189.17624187
202210,3765959.10829302,0.00322661,105.06352354,171.6789484,374963.63071708
202211,3780713.55173041,0.00323677,105.17947214,170.56508842,374738.0851923
202212,3795467.9951678,0.00324694,105.28809655,171.05197359,374512.53966751
202301,3810222.4386052,0.00325711,105.41068472,171.64254966,374286.99414273
202302,3824976.88204259,0.00326728,105.52884722,171.39026532,374061.44861794
202303,3839731.32547998,0.00327745,105.64946696,170.30272684,373835.90309316
202304,3854485.76891737,0.00328761,105.76378368,168.95305576,373610.35756837
202305,3869240.21235476,0.00329778,105.8820024,167.86525718,373384.81204359
202306,3883994.65579215,0.00330795,105.99876564,167.17199724,373159.2665188
202307,3898749.09922954,0.00331812,106.11817208,166.68349543,372933.72099402
202308,3913503.54266694,0.00332829,106.23511571,166.14633081,372708.17546923
202309,3928257.98610433,0.00333845,106.3531693,165.44230331,372482.62994445
202310,3943012.42954172,0.00334862,106.47007001,164.61488753,372257.08441966
202311,3957766.87297911,0.00335879,106.58829685,163.77433575,372031.53889488
202312,3972521.3164165,0.00336896,106.70573514,162.99551233,371805.99337009
202401,3987275.75985389,0.00337913,106.82374735,162.2809581,371580.44784531
202402,4002030.20329128,0.00338929,106.94109656,161.58827085,371354.90232052
202403,4016784.64672868,0.00339946,107.05894329,160.87717588,371129.35679574
202404,4031539.09016607,0.00340963,107.17646513,160.13618902,370903.81127095
202405,4046293.53360346,0.0034198,107.29431473,159.37887664,370678.26574617
202406,4061047.97704085,0.00342997,107.41187816,158.62450012,370452.72022138
202407,4075802.42047824,0.00344013,107.52963554,157.88256096,370227.1746966
202408,4090556.86391563,0.0034503,107.6472253,157.15023661,370001.62917181
202409,4105311.30735302,0.00346047,107.76497053,156.41927029,369776.08364703
202410,4120065.75079042,0.00347064,107.88260089,155.68380096,369550.53812224
202411,4134820.19422781,0.0034808,108.0003213,154.94340411,369324.99259746
202412,4149574.6376652,0.00349097,108.11795929,154.20119342,369099.44707267
202501,4164329.08110259,0.00350114,108.23566328,153.46026868,368873.90154789
202502,4179083.52453998,0.00351131,108.35331708,152.72160309,368648.3560231
202503,4193837.96797737,0.00352148,108.4710146,151.98423426,368422.81049832
202504,4208592.41141476,0.00353164,108.58867531,151.24670106,368197.26497354
202505,4223346.85485215,0.00354181,108.70636439,150.50824285,367971.71944875
202506,4238101.29828955,0.00355198,108.82402993,149.76903731,367746.17392397
202507,4252855.74172694,0.00356215,108.94171562,149.02970129,367520.62839918
202508,4267610.18516433,0.00357232,109.05938531,148.2906925,367295.0828744
202509,4282364.62860172,0.00358248,109.1770679,147.55206077,367069.53734961
202510,4297119.07203911,0.00359265,109.29473953,146.81357822,366843.99182483
202511,4311873.5154765,0.00360282,109.41242009,146.07500674,366618.44630004
202512,4326627.95891389,0.00361299,109.53009352,145.33626485,366392.90077526
202601,4341382.40235128,0.00362316,109.6477729,144.59742032,366167.35525047
202602,4356136.84578867,0.00363332,109.76544735,143.85858379,365941.80972569
202603,4370891.28922606,0.00364349,109.88312577,143.11981588,365716.2642009
202604,4385645.73266346,0.00365366,110.00080092,142.38110592,365490.71867612
202605,4400400.17610085,0.00366383,110.11847879,141.64240794,365265.17315133
202606,4415154.61953824,0.003674,110.23615446,140.90368628,365039.62762655
202607,4429909.06297563,0.00368416,110.35383192,140.16493583,364814.08210176
202608,4444663.50641302,0.00369433,110.47150789,139.42617319,364588.53657698
202609,4459417.94985041,0.0037045,110.58918508,138.68741663,364362.99105219
202610,4474172.3932878,0.00371467,110.70686128,137.9486729,364137.44552741
202611,4488926.83672519,0.00372484,110.82453829,137.20993726,363911.90000262
202612,4503681.28016258,0.003735,110.94221464,136.47120136,363686.35447784
