ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,81.69276679,223363.51900569
202202,3647923.56079389,0.00314526,104.02293198,74.60140994,223201.07824662
202203,3662678.00423128,0.00315543,104.19138319,73.75051342,223038.63748755
202204,3677432.44766867,0.0031656,104.36221861,71.54070958,222876.19672848
202205,3692186.89110606,0.00317577,104.51521816,75.44239745,222713.75596941
202206,3706941.33454346,0.00318593,104.58789579,77.02144281,222551.31521034
202207,3721695.77798085,0.0031961,104.69300972,75.78284105,222388.87445127
202208,3736450.22141824,0.00320627,104.8077501,73.75990891,222226.4336922
202209,3751204.66485563,0.00321644,104.94854305,71.52038504,222063.99293313
202210,3765959.10829302,0.00322661,105.06352354,71.05632982,221901.55217406
202211,3780713.55173041,0.00323677,105.17947214,71.59915997,221739.11141499
202212,3795467.9951678,0.00324694,105.28809655,71.91005784,221576.67065592
202301,3810222.4386052,0.00325711,105.41068472,71.46696087,221414.22989685
202302,3824976.88204259,0.00326728,105.52884722,70.3023552,221251.78913778
202303,3839731.32547998,0.00327745,105.64946696,69.16418228,221089.34837871
202304,3854485.76891737,0.00328761,105.76378368,68.51978314,220926.90761964
202305,3869240.21235476,0.00329778,105.8820024,68.28421947,220764.46686057
202306,3883994.65579215,0.00330795,105.99876564,68.09255679,220602.0261015
202307,3898749.09922954,0.00331812,106.11817208,67.62647717,220439.58534243
202308,3913503.54266694,0.00332829,106.23511571,66.89401491,220277.14458336
202309,3928257.98610433,0.00333845,106.3531693,66.11853481,220114.70382429
202310,3943012.42954172,0.00334862,106.47007001,65.49023779,219952.26306522
202311,3957766.87297911,0.00335879,106.58829685,65.02763256,219789.82230615
202312,3972521.3164165,0.00336896,106.70573514,64.60639564,219627.38154708
202401,3987275.75985389,0.00337913,106.82374735,64.10471928,219464.94078801
202402,4002030.20329128,0.00338929,106.94109656,63.50219973,219302.50002894
202403,4016784.64672868,0.00339946,107.05894329,62.86625845,219140.05926987
202404,4031539.09016607,0.00340963,107.17646513,62.27251672,218977.6185108
202405,4046293.53360346,0.0034198,107.29431473,61.74010072,218815.17775173
202406,4061047.97704085,0.00342997,107.41187816,61.23242477,218652.73699266
202407,4075802.42047824,0.00344013,107.52963554,60.70332201,218490.29623359
202408,4090556.86391563,0.0034503,107.6472253,60.13743559,218327.85547452
202409,4105311.30735302,0.00346047,107.76497053,59.5539583,218165.41471545
202410,4120065.75079042,0.00347064,107.88260089,58.98091919,218002.97395638
202411,4134820.19422781,0.0034808,108.0003213,58.42969818,217840.53319731
202412,4149574.6376652,0.00349097,108.11795929,57.89055122,217678.09243824
202501,4164329.08110259,0.00350114,108.23566328,57.34667133,217515.65167917
202502,4179083.52453998,0.00351131,108.35331708,56.78998236,217353.2109201
202503,4193837.96797737,0.00352148,108.4710146,56.22521961,217190.77016103
202504,4208592.41141476,0.00353164,108.58867531,55.66235104,217028.32940196
202505,4223346.85485215,0.00354181,108.70636439,55.10691473,216865.88864289
202506,4238101.29828955,0.00355198,108.82402993,54.55676902,216703.44788382
202507,4252855.74172694,0.00356215,108.94171562,54.00606451,216541.00712475
202508,4267610.18516433,0.00357232,109.05938531,53.45110002,216378.56636568
202509,4282364.62860172,0.00358248,109.1770679,52.89272819,216216.12560661
202510,4297119.07203911,0.00359265,109.29473953,52.33434186,216053.68484754
202511,4311873.5154765,0.00360282,109.41242009,51.77836488,215891.24408847
202512,4326627.95891389,0.00361299,109.53009352,51.22454989,215728.8033294
202601,4341382.40235128,0.00362316,109.6477729,50.67095292,215566.36257033
202602,4356136.84578867,0.00363332,109.76544735,50.11601368,215403.92181126
202603,4370891.28922606,0.00364349,109.88312577,49.5597207,215241.48105219
202604,4385645.73266346,0.00365366,110.00080092,49.00317298,215079.04029312
202605,4400400.17610085,0.00366383,110.11847879,48.44736012,214916.59953405
202606,4415154.61953824,0.003674,110.23615446,47.89238465,214754.15877498
202607,4429909.06297563,0.00368416,110.35383192,47.33763461,214591.71801591
202608,4444663.50641302,0.00369433,110.47150789,46.78249058,214429.27725684
202609,4459417.94985041,0.0037045,110.58918508,46.22683445,214266.83649776
202610,4474172.3932878,0.00371467,110.70686128,45.67100105,214104.39573869
202611,4488926.83672519,0.00372484,110.82453829,45.1153734,213941.95497962
202612,4503681.28016258,0.003735,110.94221464,44.56005551,213779.51422055
