ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,38.58635927,144943.67740534
202202,3647923.56079389,0.00314526,104.02293198,39.85559518,144750.21875869
202203,3662678.00423128,0.00315543,104.19138319,39.45437184,144556.76011204
202204,3677432.44766867,0.0031656,104.36221861,37.34606242,144363.30146538
202205,3692186.89110606,0.00317577,104.51521816,36.8513144,144169.84281873
202206,3706941.33454346,0.00318593,104.58789579,36.29541801,143976.38417207
202207,3721695.77798085,0.0031961,104.69300972,36.31815503,143782.92552542
202208,3736450.22141824,0.00320627,104.8077501,36.260246,143589.46687877
202209,3751204.66485563,0.00321644,104.94854305,35.92403957,143396.00823211
202210,3765959.10829302,0.00322661,105.06352354,35.48512105,143202.54958546
202211,3780713.55173041,0.00323677,105.17947214,34.98279921,143009.0909388
202212,3795467.9951678,0.00324694,105.28809655,34.5606616,142815.63229215
202301,3810222.4386052,0.00325711,105.41068472,34.20734082,142622.1736455
202302,3824976.88204259,0.00326728,105.52884722,33.87914302,142428.71499884
202303,3839731.32547998,0.00327745,105.64946696,33.54032653,142235.25635219
202304,3854485.76891737,0.00328761,105.76378368,33.17249627,142041.79770553
202305,3869240.21235476,0.00329778,105.8820024,32.7891552,141848.33905888
202306,3883994.65579215,0.00330795,105.99876564,32.4056956,141654.88041223
202307,3898749.09922954,0.00331812,106.11817208,32.03096937,141461.42176557
202308,3913503.54266694,0.00332829,106.23511571,31.66415997,141267.96311892
202309,3928257.98610433,0.00333845,106.3531693,31.29932439,141074.50447226
202310,3943012.42954172,0.00334862,106.47007001,30.93220782,140881.04582561
202311,3957766.87297911,0.00335879,106.58829685,30.56190902,140687.58717896
202312,3972521.3164165,0.00336896,106.70573514,30.19006582,140494.1285323
202401,3987275.75985389,0.00337913,106.82374735,29.81857643,140300.66988565
202402,4002030.20329128,0.00338929,106.94109656,29.44821227,140107.21123899
202403,4016784.64672868,0.00339946,107.05894329,29.07866108,139913.75259234
202404,4031539.09016607,0.00340963,107.17646513,28.70921526,139720.29394569
202405,4046293.53360346,0.0034198,107.29431473,28.33942792,139526.83529903
202406,4061047.97704085,0.00342997,107.41187816,27.96928344,139333.37665238
202407,4075802.42047824,0.00344013,107.52963554,27.5990071,139139.91800572
202408,4090556.86391563,0.0034503,107.6472253,27.22880702,138946.45935907
202409,4105311.30735302,0.00346047,107.76497053,26.85874448,138753.00071242
202410,4120065.75079042,0.00347064,107.88260089,26.48876223,138559.54206576
202411,4134820.19422781,0.0034808,108.0003213,26.11877685,138366.08341911
202412,4149574.6376652,0.00349097,108.11795929,25.74874558,138172.62477245
202501,4164329.08110259,0.00350114,108.23566328,25.37867561,137979.1661258
202502,4179083.52453998,0.00351131,108.35331708,25.0085962,137785.70747915
202503,4193837.96797737,0.00352148,108.4710146,24.63852924,137592.24883249
202504,4208592.41141476,0.00353164,108.58867531,24.26847831,137398.79018584
202505,4223346.85485215,0.00354181,108.70636439,23.89843482,137205.33153918
202506,4238101.29828955,0.00355198,108.82402993,23.52838927,137011.87289253
202507,4252855.74172694,0.00356215,108.94171562,23.15833791,136818.41424588
202508,4267610.18516433,0.00357232,109.05938531,22.78828255,136624.95559922
202509,4282364.62860172,0.00358248,109.1770679,22.41822678,136431.49695257
202510,4297119.07203911,0.00359265,109.29473953,22.04817279,136238.03830591
202511,4311873.5154765,0.00360282,109.41242009,21.6781206,136044.57965926
202512,4326627.95891389,0.00361299,109.53009352,21.30806904,135851.12101261
202601,4341382.40235128,0.00362316,109.6477729,20.93801705,135657.66236595
202602,4356136.84578867,0.00363332,109.76544735,20.56796436,135464.2037193
202603,4370891.28922606,0.00364349,109.88312577,20.19791128,135270.74507264
202604,4385645.73266346,0.00365366,110.00080092,19.82785823,135077.28642599
202605,4400400.17610085,0.00366383,110.11847879,19.45780542,134883.82777934
202606,4415154.61953824,0.003674,110.23615446,19.0877528,134690.36913268
202607,4429909.06297563,0.00368416,110.35383192,18.71770023,134496.91048603
202608,4444663.50641302,0.00369433,110.47150789,18.34764758,134303.45183937
202609,4459417.94985041,0.0037045,110.58918508,17.97759486,134109.99319272
202610,4474172.3932878,0.00371467,110.70686128,17.6075421,133916.53454607
202611,4488926.83672519,0.00372484,110.82453829,17.23748935,133723.07589941
202612,4503681.28016258,0.003735,110.94221464,16.86743663,133529.61725276
