ymd,m2_abs,tax_jongso,cpi_abs,marry,popul
202201,3633169.1173565,0.00313509,104.05130087,52.36825999,122639.36029755
202202,3647923.56079389,0.00314526,104.02293198,51.89907722,122563.10920579
202203,3662678.00423128,0.00315543,104.19138319,51.47010953,122486.85811403
202204,3677432.44766867,0.0031656,104.36221861,51.01586396,122410.60702227
202205,3692186.89110606,0.00317577,104.51521816,50.75271524,122334.35593051
202206,3706941.33454346,0.00318593,104.58789579,50.52725492,122258.10483875
202207,3721695.77798085,0.0031961,104.69300972,50.33676412,122181.85374699
202208,3736450.22141824,0.00320627,104.8077501,50.11835474,122105.60265523
202209,3751204.66485563,0.00321644,104.94854305,49.88789274,122029.35156347
202210,3765959.10829302,0.00322661,105.06352354,49.6439153,121953.10047172
202211,3780713.55173041,0.00323677,105.17947214,49.40110415,121876.84937996
202212,3795467.9951678,0.00324694,105.28809655,49.15984,121800.5982882
202301,3810222.4386052,0.00325711,105.41068472,48.92200488,121724.34719644
202302,3824976.88204259,0.00326728,105.52884722,48.68499195,121648.09610468
202303,3839731.32547998,0.00327745,105.64946696,48.4482098,121571.84501292
202304,3854485.76891737,0.00328761,105.76378368,48.21083617,121495.59392116
202305,3869240.21235476,0.00329778,105.8820024,47.97315095,121419.3428294
202306,3883994.65579215,0.00330795,105.99876564,47.73527376,121343.09173764
202307,3898749.09922954,0.00331812,106.11817208,47.49744092,121266.84064589
202308,3913503.54266694,0.00332829,106.23511571,47.25966759,121190.58955413
202309,3928257.98610433,0.00333845,106.3531693,47.02195579,121114.33846237
202310,3943012.42954172,0.00334862,106.47007001,46.7842569,121038.08737061
202311,3957766.87297911,0.00335879,106.58829685,46.54655484,120961.83627885
202312,3972521.3164165,0.00336896,106.70573514,46.30884003,120885.58518709
202401,3987275.75985389,0.00337913,106.82374735,46.07111872,120809.33409533
202402,4002030.20329128,0.00338929,106.94109656,45.83339507,120733.08300357
202403,4016784.64672868,0.00339946,107.05894329,45.59567289,120656.83191181
202404,4031539.09016607,0.00340963,107.17646513,45.35795226,120580.58082006
202405,4046293.53360346,0.0034198,107.29431473,45.12023269,120504.3297283
202406,4061047.97704085,0.00342997,107.41187816,44.88251325,120428.07863654
202407,4075802.42047824,0.00344013,107.52963554,44.64479361,120351.82754478
202408,4090556.86391563,0.0034503,107.6472253,44.4070737,120275.57645302
202409,4105311.30735302,0.00346047,107.76497053,44.16935368,120199.32536126
202410,4120065.75079042,0.00347064,107.88260089,43.93163365,120123.0742695
202411,4134820.19422781,0.0034808,108.0003213,43.69391365,120046.82317774
202412,4149574.6376652,0.00349097,108.11795929,43.45619369,119970.57208598
202501,4164329.08110259,0.00350114,108.23566328,43.21847374,119894.32099422
202502,4179083.52453998,0.00351131,108.35331708,42.98075379,119818.06990247
202503,4193837.96797737,0.00352148,108.4710146,42.74303384,119741.81881071
202504,4208592.41141476,0.00353164,108.58867531,42.50531388,119665.56771895
202505,4223346.85485215,0.00354181,108.70636439,42.26759393,119589.31662719
202506,4238101.29828955,0.00355198,108.82402993,42.02987397,119513.06553543
202507,4252855.74172694,0.00356215,108.94171562,41.79215401,119436.81444367
202508,4267610.18516433,0.00357232,109.05938531,41.55443405,119360.56335191
202509,4282364.62860172,0.00358248,109.1770679,41.31671409,119284.31226015
202510,4297119.07203911,0.00359265,109.29473953,41.07899414,119208.06116839
202511,4311873.5154765,0.00360282,109.41242009,40.84127418,119131.81007664
202512,4326627.95891389,0.00361299,109.53009352,40.60355422,119055.55898488
202601,4341382.40235128,0.00362316,109.6477729,40.36583426,118979.30789312
202602,4356136.84578867,0.00363332,109.76544735,40.12811431,118903.05680136
202603,4370891.28922606,0.00364349,109.88312577,39.89039435,118826.8057096
202604,4385645.73266346,0.00365366,110.00080092,39.65267439,118750.55461784
202605,4400400.17610085,0.00366383,110.11847879,39.41495443,118674.30352608
202606,4415154.61953824,0.003674,110.23615446,39.17723448,118598.05243432
202607,4429909.06297563,0.00368416,110.35383192,38.93951452,118521.80134256
202608,4444663.50641302,0.00369433,110.47150789,38.70179456,118445.5502508
202609,4459417.94985041,0.0037045,110.58918508,38.4640746,118369.29915905
202610,4474172.3932878,0.00371467,110.70686128,38.22635465,118293.04806729
202611,4488926.83672519,0.00372484,110.82453829,37.98863469,118216.79697553
202612,4503681.28016258,0.003735,110.94221464,37.75091473,118140.54588377
